first_name,last_name,director_id
Joe,Johnston,d9185
Howard,Deutch,d4567
Forest,Whitaker,d21151
Charles,Shyer,d18284
Michael,Mann,d12286
Sydney,Pollack,d15691
Peter,Hewitt,d8044
Peter,Hyams,d8615
Martin,Campbell,d2777
Rob,Reiner,d16370
Mel,Brooks,d2355
Simon,Wells,d21063
Oliver,Stone,d19156
Renny,Harlin,d7632
Martin,Scorsese,d17801
Ang,Lee,d11088
Allison,Anders,d397
 Alexandre,Rockwell,d16726
 Robert,Rodriguez,d16743
 Quentin,Tarantino,d19579
Steve,Oedekerk,d14617
Joseph,Ruben,d17031
Barry,Sonnenfeld,d18778
Jon,Amiel,d358
Richard,Donner,d4781
Victor,Salva,d17299
Mike,Figgis,d5655
Oliver,Parker,d15097
Lesli Linka,Glatter,d6653
Roger,Michell,d13191
Marc,Caro,d2893
 Jean-Pierre,Jeunet,d9079
Yimou,Zhang,d21939
John N.,Smith,d18643
Terry,Gilliam,d6578
Jean-Jacques,Annaud,d500
Chris,Noonan,d14411
Christopher,Hampton,d7532
Tim,Robbins,d16642
Stephen,Low,d11780
Andy,Tennant,d19702
Amy,Heckerling,d7830
Darrell,Roodt,d16845
Richard,Loncraine,d11693
Albert,Hughes,d8494
 Allen,Hughes,d8490
Michael,Hoffman,d8209
Paul W.S.,Anderson,d430
Gus Van,Sant,d17378
Jocelyn,Moorhouse,d13619
David,Fincher,d5670
Mike,Gabriel,d6187
 Eric,Goldberg,d6746
Patricia,Rozema,d17022
Bryan,Singer,d18441
Richard W.,Munchkin,d13854
Woody,Allen,d278
Gianni,Amelio,d349
Holly Goldberg,Sloan,d18564
Ulu,Grosbard,d7183
Robert,Tinnell,d19892
Jodie,Foster,d5900
Michael,Radford,d16081
 Massimo,Troisi,d20094
Robert,Lepage,d11310
Frank,Oz,d14881
John,Schlesinger,d17633
Stephen,Herek,d7975
Paris,Barclay,d1099
Bill,Bennett,d1474
Jason,Bloom,d1881
Farhad,Mann,d12283
James,Foley,d5820
Josiane,Balasko,d989
F. Gary,Gray,d7028
Robert,Rodriguez,d16753
Andrew,Sipes,d18468
Noah,Baumbach,d1280
Claude,Lelouch,d11241
Michael,Goldenberg,d6765
Steve,Miner,d13341
Christian,Duguay,d4948
Susanne,Ofteringer,d14624
Sean,Penn,d15314
Brian,Gibson,d6528
Jafar,Panahi,d14981
Gary,Fleder,d5757
Marleen,Gorris,d6893
Tim,Reid,d16359
Henry,Jaglom,d8920
Philip,Haas,d7376
Ridley,Scott,d17822
Ken,Kwapis,d10645
Penelope,Spheeris,d18859
John,Badham,d895
John,Duigan,d4950
Stephen,Frears,d5999
Wes,Craven,d3968
Ted,Demme,d4496
John,Woo,d21474
Kenneth,Branagh,d2195
Mathieu,Kassovitz,d9609
Nick,Broomfield,d2361
Harold,Becker,d1343
Wes,Anderson,d439
Nick,Castle,d3005
John,Dahl,d4198
Dennis,Dugan,d4942
Clint,Eastwood,d5076
Doris,Dörrie,d5057
