imdb_id,ratings
tt0113497,PG
tt0113228,PG-13
tt0114885,R
tt0113041,PG
tt0113277,R
tt0114319,PG
tt0112302,PG
tt0114576,R
tt0113189,PG-13
tt0112346,PG-13
tt0112896,PG-13
tt0112453,G
tt0113987,R
tt0112760,PG-13
tt0112641,R
tt0114388,PG
tt0113101,R
tt0112281,PG-13
tt0113845,R
tt0113161,R
tt0112722,R
tt0112401,R
tt0114168,PG-13
tt0113627,R
tt0114057,R
tt0114011,PG-13
tt0114117,PG
tt0112682,R
tt0115012,R
tt0112792,R
tt0114746,R
tt0114952,G
tt0112431,G
tt0112637,R
tt0112818,R
tt0112286,G
tt0113442,PG
tt0112697,PG-13
tt0112749,PG-13
tt0114279,R
tt0112819,R
tt0114272,R
tt0113855,PG-13
tt0114681,R
tt0113347,PG-13
tt0114369,R
tt0114148,G
tt0114916,R
tt0114814,R
tt0109950,R
tt0113819,R
tt0110299,N/A
tt0112499,PG
tt0113158,R
tt0113541,Unrated
tt0113321,PG-13
tt0110877,PG
tt0112714,Not Rated
tt0113419,PG
tt0116260,R
tt0113862,PG
tt0116126,R
tt0118002,R
tt0115683,PG-13
tt0116839,PG-13
tt0114753,PG-13
tt0113149,R
tt0113118,R
tt0116367,R
tt0113010,R
tt0113537,R
tt0113828,R
tt0115644,PG
tt0115676,PG
tt0114367,R
tt0113973,N/A
tt0112744,R
tt0116731,R
tt0112445,Unrated
tt0114660,R
tt0112379,R
tt0114039,PG
tt0113612,R
tt0112365,R
tt0118158,PG-13
tt0116151,PG
tt0115697,PG-13
tt0113972,R
tt0113490,PG-13
tt0117002,R
tt0114825,R
tt0115639,R
tt0115759,R
tt0113403,R
tt0113247,Not Rated
tt0111173,R
tt0113283,Not Rated
tt0115907,R
tt0115734,R
tt0117102,PG-13
tt0118040,R
tt0116483,PG-13
tt0112579,PG-13
tt0110251,N/A
tt0117110,G
tt0112646,N/A
tt0113276,N/A
tt0112573,R
tt0075314,R
tt0113326,R
tt0115645,PG-13
tt0113774,R
tt0112556,N/A
tt0112373,PG
tt0115033,R
tt0116606,R
tt0114536,PG-13
tt0117427,PG
tt0106473,N/A
tt0103859,R
tt0109424,PG-13
tt0114808,R
tt0116324,R
tt0110647,G
tt0111055,N/A
tt0110217,Not Rated
tt0114131,R
tt0112364,Not Rated
tt0113107,R
tt0113451,R
tt0114015,N/A
tt0114500,N/A
tt0116130,PG-13
tt0113125,N/A
tt0113756,N/A
tt0113952,Not Rated
tt0114618,N/A
tt0118055,PG-13
tt0115685,R
tt0113200,PG
tt0112585,R
tt0112442,R
tt0112342,PG
tt0112461,R
tt0112427,R
tt0109093,R
tt0112384,PG
tt0114287,R
tt0112288,Not Rated
tt0112462,PG-13
tt0061395,R
tt0112495,R
tt0112541,R
tt0109370,PG
tt0112642,PG
tt0112688,R
tt0112715,PG-13
tt0112740,R
tt0109508,R
tt0112851,R
tt0112857,R
tt0112864,R
tt0112887,R
tt0113044,R
tt0113071,PG-13
tt0113114,PG
tt0113243,PG-13
tt0113464,R
tt0113481,R
tt0113492,R
tt0113500,PG-13
tt0113540,Unrated
tt0113677,R
tt0113690,R
tt0107447,R
tt0113729,PG-13
tt0113749,R
tt0113820,PG
tt0113851,R
tt0110604,R
tt0110620,R
tt0113957,PG-13
tt0113986,PG-13
tt0114095,R
tt0114194,R
tt0114241,PG-13
tt0114323,R
tt0114345,R
tt0114435,R
tt0114436,NC-17
tt0114478,R
tt0114496,R
tt0114508,R
tt0114534,PG
tt0114558,R
tt0058450,Not Rated
tt0114666,R
tt0114663,PG
tt0114702,R
tt0114682,PG-13
tt0114781,R
tt0114798,PG
tt0114805,R
tt0114887,PG-13
tt0114898,PG-13
tt0114928,R
tt0114938,R
tt0109340,R
tt0112602,PG-13
tt0111579,R
tt0110882,Not Rated
tt0112471,R
tt0112508,PG-13
tt0112438,R
tt0112571,R
tt0112757,PG-13
tt0112643,R
tt0112679,PG-13
tt0109445,R
tt0112883,PG-13
tt0109635,R
tt0112899,R
tt0109676,R
tt0112854,R
tt0109579,R
tt0109642,R
tt0109686,PG-13
tt0111797,Not Rated
tt0109759,R
tt0109758,R
tt0109707,R
tt0113117,PG-13
tt0113097,PG-13
tt0113028,PG
tt0113198,G
tt0113303,R
tt0113089,PG
tt0109771,R
tt0113199,G
tt0113234,G
tt0109906,PG-13
tt0110057,PG-13
tt0110005,R
tt0110066,PG
tt0110116,R
tt0110006,PG
tt0113360,R
tt0110099,PG
tt0110148,R
tt0113463,PG-13
tt0110189,R
tt0110216,PG-13
tt0113501,R
tt0113538,PG
tt0113552,R
tt0076759,PG
tt0110367,PG
tt0113670,G
tt0110296,R
tt0109731,Not Rated
tt0103994,R
tt0110322,R
tt0110443,PG-13
tt0110365,R
tt0107566,R
tt0110391,PG-13
tt0113691,R
tt0110428,PG-13
tt0109836,R
tt0113755,PG
tt0110538,PG-13
tt0110516,PG-13
tt0110527,PG
tt0113808,PG-13
tt0113896,R
tt0113870,R
tt0110684,R
tt0110638,PG-13
tt0113967,R
tt0117169,R
tt0106402,R
tt0113948,R
tt0110671,R
tt0110632,R
tt0110737,PG
tt0110729,R
tt0114151,R
tt0114069,R
tt0110413,R
tt0114113,R
tt0114210,PG
tt0110912,R
tt0114084,R
tt0105652,Not Rated
tt0110889,R
tt0110932,PG-13
tt0114129,PG-13
tt0110963,R
tt0114214,R
tt0114296,PG
tt0110907,R
tt0111495,R
tt0108394,R
tt0111507,R
tt0110769,R
tt0114268,G
tt0110965,R
tt0114571,PG-13
tt0111333,G
tt0111112,PG
tt0111255,R
tt0111282,PG-13
tt0111070,PG
tt0111161,R
tt0111149,R
tt0108260,Not Rated
tt0106966,R
tt0114594,R
tt0111309,R
tt0113936,R
tt0110081,Not Rated
tt0114614,R
tt0114608,R
tt0111280,PG
tt0114609,R
tt0111454,PG-13
tt0114852,R
tt0114694,PG-13
tt0111590,PG
tt0114788,R
tt0114888,R
tt0108550,PG-13
tt0114857,R
tt0114924,PG
tt0111667,PG-13
tt0109655,PG-13
tt0110598,R
tt0112435,PG
tt0109040,PG-13
tt0109045,R
tt0106339,R
tt0104779,R
tt0109348,R
tt0109444,PG-13
tt0109446,PG-13
tt0109484,PG
tt0109504,PG-13
tt0109506,R
tt0109450,R
tt0109813,PG
tt0109830,PG-13
tt0109831,R
tt0113305,R
tt0110091,R
tt0110093,PG
tt0110167,PG
tt0110213,PG
tt0107472,N/A
tt0110357,G
tt0107426,PG
tt0111686,R
tt0110475,PG-13
tt0110478,PG
tt0110588,R
tt0110622,PG-13
tt0110771,R
tt0110950,PG-13
tt0105226,R
tt0110989,PG
tt0111054,PG-13
tt0110997,PG-13
tt0111257,R
tt0111256,PG-13
tt0111438,R
tt0111503,R
tt0111693,R
tt0111742,R
tt0111756,PG-13
tt0112443,R
tt0110455,R
tt0111048,R
tt0110399,R
tt0112570,N/A
tt0109454,N/A
tt0059170,Not Rated
tt0110186,R
tt0108069,Unrated
tt0111301,PG-13
tt0112702,R
tt0112849,N/A
tt0113014,R
tt0113043,R
tt0113104,PG
tt0113173,R
tt0113319,R
tt0113827,R
tt0114047,R
tt0112889,N/A
tt0109339,N/A
tt0110027,PG-13
tt0109785,R
tt0113409,R
tt0109021,PG-13
tt0109035,R
tt0106220,PG-13
tt0111804,Unrated
tt0106226,PG
tt0109068,PG-13
tt0109067,PG
tt0106292,PG-13
tt0109198,R
tt0109219,PG-13
tt0106379,PG-13
tt0106400,PG
tt0109254,R
tt0109279,G
tt0109297,R
tt0109303,R
tt0109305,PG-13
tt0109306,PG-13
tt0106452,R
tt0106471,R
tt0106489,R
tt0109361,PG-13
tt0106505,PG-13
tt0106519,R
tt0109439,PG-13
tt0109443,PG-13
tt0106582,R
tt0106598,PG
tt0109456,R
tt0109480,PG
tt0109493,PG-13
tt0106660,R
tt0106673,PG-13
tt0106677,R
tt0106697,R
tt0109729,TV-14
tt0106834,R
tt0106873,PG-13
tt0106332,R
tt0109783,R
tt0106881,R
tt0106880,R
tt0111732,PG-13
tt0106926,R
tt0111712,PG
tt0106941,PG
tt0106918,R
tt0106965,PG
tt0109842,R
tt0106977,PG-13
tt0107004,PG-13
tt0109890,R
tt0109891,PG
tt0109913,R
tt0109920,R
tt0107057,R
tt0107076,R
tt0107096,R
tt0107144,PG-13
tt0113674,R
tt0112966,PG
tt0107151,R
