first_name,last_name,writer_id
Jonathan,Hensleigh,w20063
 Greg,Taylor,w47388
 Jim,Strain,w46318
 Chris Van,Allsburg,w803
Mark Steven,Johnson,w22881
 Mark Steven,Johnson,w22834
Terry,McMillan,w31684
 Terry,McMillan,w31682
 Ronald,Bass,w3011
Albert,Hackett,w18656
 Frances,Goodrich,w17311
 Nancy,Meyers,w32226
 Charles,Shyer,w44224
Michael,Mann,w30139
Samuel A.,Taylor,w47439
 Billy,Wilder,w51259
 Samuel A.,Taylor,w47405
 Ernest,Lehman,w27624
 Barbara,Benedek,w3573
 David,Rayfiel,w39475
Mark,Twain,w48797
 Stephen,Sommers,w45324
 David,Loughery,w28938
Karen Elise,Baldwin,w2475
 Gene,Quintano,w38941
Ian,Fleming,w14531
 Michael,France,w14956
 Jeffrey,Caine,w6847
 Bruce,Feirstein,w13924
Aaron,Sorkin,w45389
Mel,Brooks,w5932
 Rudy De,Luca,w29057
 Steve,Haberman,w18646
 Bram,Stoker,w46213
Cliff,Ruby,w41349
 Elana,Lesser,w27913
 David Steven,Cohen,w9040
 Roger S.H.,Schulman,w42926
Stephen J.,Rivele,w40312
 Christopher,Wilkinson,w51301
 Oliver,Stone,w46255
Michael Frost,Beckner,w3310
 James,Gorman,w17429
 Bruce A.,Evans,w13477
 Raynold,Gideon,w16560
 Robert,King,w24970
 Marc,Norman,w35139
Nicholas,Pileggi,w37812
 Nicholas,Pileggi,w37811
 Martin,Scorsese,w43091
Jane,Austen,w2016
 Emma,Thompson,w47758
Allison,Anders,w1086
 Alexandre,Rockwell,w40592
 Robert,Rodriguez,w40650
 Quentin,Tarantino,w47251
Jack,Bernstein,w3984
 Steve,Oedekerk,w35626
Doug,Richardson,w40067
 Doug,Richardson,w40059
Elmore,Leonard,w27800
 Scott,Frank,w15010
Ann,Biderman,w4247
 David,Madsen,w29647
Lilly,Wachowski,w49943
 Lana,Wachowski,w49940
 Lilly,Wachowski,w49941
 Brian,Helgeland,w19908
Victor,Salva,w41985
John,O'Brien,w35384
 Mike,Figgis,w14222
Oliver,Parker,w36677
 William,Shakespeare,w43576
I. Marlene,King,w24984
 Nick,Dear,w11093
Gilles,Adrien,w293
 Jean-Pierre,Jeunet,w22678
 Marc,Caro,w7308
 Gilles,Adrien,w292
 Guillaume,Laurant,w27082
Bi,Feiyu,w13929
 Li,Xiao,w52158
LouAnne,Johnson,w22880
Chris,Marker,w30416
 David Webb,Peoples,w37226
 Janet,Peoples,w37227
Alain,Godard,w16952
 Jean-Jacques,Annaud,w1327
Dick,King-Smith,w25006
 George,Miller,w32457
 Chris,Noonan,w35097
Christopher,Hampton,w18968
 Michael,Holroyd,w20857
Helen,Prejean,w38458
 Tim,Robbins,w40377
Andrew,Gellis,w16252
Deborah Dean,Davis,w10892
Amy,Heckerling,w19781
Ronald,Harwood,w19480
 Alan,Paton,w36873
William,Shakespeare,w43579
 Ian,McKellen,w31588
 Richard,Loncraine,w28766
Allen,Hughes,w21328
 Albert,Hughes,w21305
 Michael Henry,Brown,w6010
 Wallace,Terry,w47575
Rose,Tremain,w48385
 Rupert,Walters,w50232
Ed,Boon,w5031
 John,Tobias,w48039
