first_name,last_name,actor_id
Robin,Williams,a81066
 Jonathan,Hyde,a38430
 Kirsten,Dunst,a24769
 Bradley,Pierce,a62286
Walter,Matthau,a52243
 Jack,Lemmon,a47579
 Sophia,Loren,a49123
N/A,Ann-Margret,a3323
Whitney,Houston,a37726
 Angela,Bassett,a7334
 Loretta,Devine,a22957
 Lela,Rochon,a66270
Steve,Martin,a51747
 Diane,Keaton,a42476
 Martin,Short,a70884
 Kimberly,Williams-Paisley,a81075
Al,Pacino,a60051
 Robert De,Niro,a58216
 Val,Kilmer,a43415
 Jon,Voight,a78868
Harrison,Ford,a28472
 Julia,Ormond,a59681
 Greg,Kinnear,a43789
 Nancy,Marchand,a51205
Jonathan Taylor,Thomas,a75750
 Brad,Renfro,a65155
 Eric,Schweig,a69364
 Charles,Rocket,a66284
Jean-Claude Van,Damme,a21413
 Powers,Boothe,a11287
 Raymond J.,Barry,a7066
 Whittni,Wright,a81885
Pierce,Brosnan,a13045
 Sean,Bean,a7723
 Izabella,Scorupco,a69452
 Famke,Janssen,a39781
Michael,Douglas,a24113
 Annette,Bening,a8568
 Martin,Sheen,a70430
 Michael J.,Fox,a28717
Leslie,Nielsen,a58083
 Peter,MacNicol,a50120
 Steven,Weber,a80025
 Amy,Yasbeck,a82316
Kevin,Bacon,a5507
 Bob,Hoskins,a37633
 Bridget,Fonda,a28355
 Jim,Cummings,a20774
Anthony,Hopkins,a37477
 Joan,Allen,a2056
 Ed,Harris,a34995
Geena,Davis,a22005
 Matthew,Modine,a55129
 Frank,Langella,a46376
 Maury,Chaykin,a17206
Robert De,Niro,a58217
 Sharon,Stone,a73609
 Joe,Pesci,a61785
 James,Woods,a81723
James,Fleet,a28093
 Tom,Wilkinson,a80865
 Harriet,Walter,a79429
 Kate,Winslet,a81342
Sammi,Davis,a22028
 Amanda De,Cadenet,a14605
 Valeria,Golino,a31817
N/A,Madonna,a50331
Jim,Carrey,a15720
 Ian,McNeice,a53377
 Simon,Callow,a14819
 Maynard,Eziashi,a26647
Wesley,Snipes,a72084
 Woody,Harrelson,a34953
 Jennifer,Lopez,a49079
 Robert,Blake,a10261
John,Travolta,a76768
 Gene,Hackman,a33923
 Rene,Russo,a67468
 Danny,DeVito,a22254
Sigourney,Weaver,a79975
 Holly,Hunter,a38228
 Dermot,Mulroney,a56457
 William,McNamara,a53368
Sylvester,Stallone,a72897
 Antonio,Banderas,a6333
 Julianne,Moore,a55572
 Anatoli,Davydov,a22056
Mary,Steenburgen,a73113
 Sean Patrick,Flanery,a28068
 Lance,Henriksen,a36135
 Jeff,Goldblum,a31763
Nicolas,Cage,a14635
 Elisabeth,Shue,a70934
 Julian,Sands,a68343
 Richard,Lewis,a47993
Laurence,Fishburne,a27919
 Irène,Jacob,a39435
 Kenneth,Branagh,a12151
 Nathaniel,Parker,a60730
Christina,Ricci,a65436
 Rosie,O'Donnell,a58903
 Thora,Birch,a9830
 Melanie,Griffith,a33012
Amanda,Root,a66717
 Ciarán,Hinds,a36744
 Susan,Fleetwood,a28096
 Corin,Redgrave,a64789
Ron,Perlman,a61670
 Daniel,Emilfork,a25976
 Judith,Vittet,a78796
 Dominique,Pinon,a62433
Li,Gong,a31894
 Baotian,Li,a48057
 Xiaoxiao,Wang,a79540
 Xuejian,Li,a48092
Michelle,Pfeiffer,a62048
 George,Dzundza,a25063
 Courtney B.,Vance,a77954
 Robin,Bartlett,a7170
Joseph,Melito,a53670
 Bruce,Willis,a81103
 Jon,Seda,a69641
 Michael,Chance,a16823
Craig,Sheffer,a70438
 Tom,Hulce,a38128
 Elizabeth,McGovern,a53014
Christine,Cavanaugh,a16359
 Miriam,Margolyes,a51289
 Danny,Mann,a50988
 Hugo,Weaving,a79976
Emma,Thompson,a75832
 Jonathan,Pryce,a63562
 Steven,Waddington,a79091
 Samuel,West,a80379
Susan,Sarandon,a68540
 Sean,Penn,a61528
 Robert,Prosky,a63521
Peter,Reznick,a65344
 John,McDonough,a52894
 Avi,Hoffman,a37050
 Victor,Steinbach,a73160
Kirstie,Alley,a2178
 Steve,Guttenberg,a33628
 Mary-Kate,Olsen,a59484
 Ashley,Olsen,a59478
Alicia,Silverstone,a71219
 Stacey,Dash,a21711
 Brittany,Murphy,a56600
 Paul,Rudd,a67222
James Earl,Jones,a40789
 Richard,Harris,a35034
 Vusi,Kunene,a45416
 Charles S.,Dutton,a24919
Christopher,Bowen,a11781
 Edward,Jewesbury,a40153
 Ian,McKellen,a53163
 Bill,Paterson,a60992
Larenz,Tate,a75135
 Keith,David,a21798
 Chris,Tucker,a77143
 Freddy,Rodríguez,a66382
Robert Downey,Jr.,a41189
 Sam,Neill,a57626
 David,Thewlis,a75633
 Polly,Walker,a79291
Christopher,Lambert,a46121
 Robin,Shou,a70895
 Linden,Ashby,a4497
 Cary-Hiroyuki,Tagawa,a74693
Nicole,Kidman,a43330
 Matt,Dillon,a23336
 Joaquin,Phoenix,a62188
 Casey,Affleck,a885
Kaelynn,Craddick,a20206
 Sara,Craddick,a20205
 Kate,Capshaw,a15300
 Adam,Baldwin,a6080
Morgan,Freeman,a29090
 Andrew Kevin,Walker,a79258
 Daniel,Zacapa,a82833
 Brad,Pitt,a62541
Joe,Baker,a5960
 Christian,Bale,a6108
 Irene,Bedard,a7962
 Billy,Connolly,a19318
Pascale,Bussières,a14209
 Rachael,Crawford,a20306
 Henry,Czerny,a21027
 David,Fox,a28701
Stephen,Baldwin,a6105
