,awards,imdb_id
0,Nominated for 3 Oscars. Another 23 wins & 17 nominations.,tt0114709
1,4 wins & 9 nominations.,tt0113497
2,2 wins & 2 nominations.,tt0113228
3,8 wins & 9 nominations.,tt0114885
4,Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,tt0113041
5,12 nominations.,tt0113277
6,Nominated for 2 Oscars. Another 2 wins & 4 nominations.,tt0114319
7,1 win & 5 nominations.,tt0112302
8,N/A,tt0114576
9,Nominated for 2 BAFTA Film Awards. Another 2 wins & 6 nominations.,tt0113189
10,Nominated for 1 Oscar. Another 1 win & 9 nominations.,tt0112346
11,N/A,tt0112896
12,1 nomination.,tt0112453
13,Nominated for 4 Oscars. Another 10 wins & 13 nominations.,tt0113987
14,1 nomination.,tt0112760
15,Nominated for 1 Oscar. Another 3 wins & 9 nominations.,tt0112641
16,Won 1 Oscar. Another 31 wins & 44 nominations.,tt0114388
17,1 win & 1 nomination.,tt0113101
18,7 wins & 6 nominations.,tt0112281
19,1 nomination.,tt0113845
20,Won 1 Golden Globe. Another 5 wins & 15 nominations.,tt0113161
21,2 wins & 1 nomination.,tt0112722
22,1 win & 1 nomination.,tt0112401
23,1 win & 1 nomination.,tt0114168
24,Won 1 Oscar. Another 30 wins & 26 nominations.,tt0113627
25,3 nominations.,tt0114057
26,1 nomination.,tt0114011
27,7 wins & 2 nominations.,tt0114117
28,2 wins & 11 nominations.,tt0112682
29,Nominated for 1 Oscar. Another 5 wins & 3 nominations.,tt0115012
30,6 wins & 6 nominations.,tt0112792
31,Nominated for 2 Oscars. Another 9 wins & 18 nominations.,tt0114746
32,N/A,tt0114952
33,Won 1 Oscar. Another 18 wins & 23 nominations.,tt0112431
34,Nominated for 1 BAFTA Film Award. Another 7 wins & 7 nominations.,tt0112637
35,Won 1 Oscar. Another 20 wins & 19 nominations.,tt0112818
36,N/A,tt0112286
37,1 win & 3 nominations.,tt0113442
38,6 wins & 11 nominations.,tt0112697
39,1 win & 4 nominations.,tt0112749
40,Nominated for 2 Oscars. Another 7 wins & 10 nominations.,tt0114279
41,2 nominations.,tt0112819
42,Won 2 Oscars. Another 2 nominations.,tt0114272
43,1 win & 3 nominations.,tt0113855
44,Won 1 Golden Globe. Another 6 wins & 12 nominations.,tt0114681
45,4 nominations.,tt0113347
46,Nominated for 1 Oscar. Another 25 wins & 33 nominations.,tt0114369
47,Won 2 Oscars. Another 13 wins & 6 nominations.,tt0114148
48,5 nominations.,tt0114916
49,Won 2 Oscars. Another 32 wins & 15 nominations.,tt0114814
50,N/A,tt0109950
51,Won 1 Oscar. Another 11 wins & 11 nominations.,tt0113819
52,21 wins & 17 nominations.,tt0110299
53,N/A,tt0112499
54,Nominated for 1 Oscar. Another 4 wins & 6 nominations.,tt0113158
55,2 nominations.,tt0113541
56,2 nominations.,tt0113321
57,Won 1 Oscar. Another 29 wins & 17 nominations.,tt0110877
58,8 wins & 8 nominations.,tt0112714
59,1 win & 6 nominations.,tt0113419
60,N/A,tt0116260
61,Nominated for 1 Oscar. Another 5 wins & 4 nominations.,tt0113862
62,1 nomination.,tt0116126
63,N/A,tt0118002
64,3 wins & 1 nomination.,tt0115683
65,1 nomination.,tt0116839
66,2 nominations.,tt0114753
67,Nominated for 1 Golden Globe. Another 3 wins & 5 nominations.,tt0113149
68,1 win & 5 nominations.,tt0113118
69,4 wins & 9 nominations.,tt0116367
70,4 nominations.,tt0113010
71,1 nomination.,tt0113537
72,Won 1 Golden Globe. Another 5 wins & 2 nominations.,tt0113828
73,N/A,tt0115644
74,3 wins.,tt0115676
75,3 nominations.,tt0114367
76,4 wins.,tt0113973
77,Nominated for 1 Golden Globe. Another 3 nominations.,tt0112744
78,1 win & 2 nominations.,tt0116731
79,5 wins & 3 nominations.,tt0112445
80,2 wins.,tt0114660
81,Won 1 Oscar. Another 6 wins & 8 nominations.,tt0112379
82,2 wins & 2 nominations.,tt0114039
83,1 nomination.,tt0113612
84,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,tt0112365
85,1 nomination.,tt0118158
86,4 nominations.,tt0116151
87,N/A,tt0115697
88,N/A,tt0113972
89,N/A,tt0113490
90,6 nominations.,tt0117002
91,N/A,tt0114825
92,1 win & 3 nominations.,tt0115639
93,1 win & 3 nominations.,tt0115759
94,1 win & 1 nomination.,tt0113403
95,8 wins & 13 nominations.,tt0113247
96,1 nomination.,tt0111173
97,1 nomination.,tt0113283
98,1 nomination.,tt0115907
99,2 wins & 1 nomination.,tt0115734
100,2 nominations.,tt0117102
101,1 win.,tt0118040
102,1 win & 4 nominations.,tt0116483
103,Nominated for 1 Oscar. Another 6 wins & 14 nominations.,tt0112579
104,3 wins & 1 nomination.,tt0110251
105,4 nominations.,tt0117110
106,N/A,tt0112646
107,N/A,tt0113276
108,Won 5 Oscars. Another 26 wins & 28 nominations.,tt0112573
109,Nominated for 4 Oscars. Another 21 wins & 15 nominations.,tt0075314
110,2 wins & 11 nominations.,tt0113326
111,N/A,tt0115645
112,10 wins & 6 nominations.,tt0113774
113,1 win & 5 nominations.,tt0112556
114,Won 1 Oscar. Another 8 wins & 5 nominations.,tt0112373
115,1 win & 2 nominations.,tt0115033
116,N/A,tt0116606
117,N/A,tt0114536
118,N/A,tt0117427
119,12 wins & 5 nominations.,tt0106473
120,1 win & 4 nominations.,tt0103859
121,8 wins & 19 nominations.,tt0109424
122,Nominated for 1 Oscar. Another 13 wins & 13 nominations.,tt0114808
123,1 win & 10 nominations.,tt0116324
124,1 nomination.,tt0110647
125,7 wins.,tt0111055
126,3 wins & 1 nomination.,tt0110217
127,N/A,tt0114131
128,4 wins & 1 nomination.,tt0112364
129,N/A,tt0113107
130,2 nominations.,tt0113451
131,N/A,tt0114015
132,1 win.,tt0114500
133,N/A,tt0116130
134,2 wins & 1 nomination.,tt0113125
135,N/A,tt0113756
136,2 nominations.,tt0113952
137,1 nomination.,tt0114618
138,Nominated for 1 Oscar. Another 3 wins & 2 nominations.,tt0118055
