,director_id,first_name,last_name
0,d12464,John,Lasseter
1,d12213,Joe,Johnston
2,d10656,Howard,Deutch
3,d9203,Forest,Whitaker
4,d6685,Charles,Shyer
5,d15745,Michael,Mann
6,d20271,Sydney,Pollack
7,d17388,Peter,Hewitt
8,d17393,Peter,Hyams
9,d15111,Martin,Campbell
10,d18336,Rob,Reiner
11,d15534,Mel,Brooks
12,d19719,Simon,Wells
13,d16759,Oliver,Stone
14,d18038,Renny,Harlin
15,d15156,Martin,Scorsese
16,d5122,Ang,Lee
17,d4776,Allison,Anders
18,d131, Alexandre,Rockwell
19,d3227, Robert,Rodriguez
20,d3066, Quentin,Tarantino
21,d20018,Steve,Oedekerk
22,d12885,Joseph,Ruben
23,d5659,Barry,Sonnenfeld
24,d12624,Jon,Amiel
25,d18140,Richard,Donner
26,d21291,Victor,Salva
27,d15992,Mike,Figgis
28,d16755,Oliver,Parker
29,d14162,Lesli Linka,Glatter
30,d18687,Roger,Michell
31,d14670,Marc,Caro
32,d1717, Jean-Pierre,Jeunet
33,d21819,Yimou,Zhang
34,d12508,John N.,Smith
35,d20494,Terry,Gilliam
36,d11672,Jean-Jacques,Annaud
37,d6860,Chris,Noonan
38,d6997,Christopher,Hampton
39,d20711,Tim,Robbins
40,d19942,Stephen,Low
41,d5115,Andy,Tennant
42,d4836,Amy,Heckerling
43,d7654,Darrell,Roodt
44,d18182,Richard,Loncraine
45,d4435,Albert,Hughes
46,d155, Allen,Hughes
47,d15698,Michael,Hoffman
48,d17203,Paul W.S.,Anderson
49,d10160,Gus Van,Sant
50,d12178,Jocelyn,Moorhouse
51,d7793,David,Fincher
52,d15995,Mike,Gabriel
53,d1052, Eric,Goldberg
54,d16981,Patricia,Rozema
55,d6338,Bryan,Singer
56,d18224,Richard W.,Munchkin
57,d21719,Woody,Allen
58,d9829,Gianni,Amelio
59,d10634,Holly Goldberg,Sloan
60,d21149,Ulu,Grosbard
61,d18573,Robert,Tinnell
62,d12182,Jodie,Foster
63,d15799,Michael,Radford
64,d2499, Massimo,Troisi
65,d18501,Robert,Lepage
66,d9309,Frank,Oz
67,d12558,John,Schlesinger
68,d19929,Stephen,Herek
69,d16931,Paris,Barclay
70,d5885,Bill,Bennett
71,d11498,Jason,Bloom
72,d9088,Farhad,Mann
73,d11256,James,Foley
74,d12949,Josiane,Balasko
75,d9060,F. Gary,Gray
76,d18546,Robert,Rodriguez
77,d5017,Andrew,Sipes
78,d16629,Noah,Baumbach
79,d7114,Claude,Lelouch
80,d15679,Michael,Goldenberg
81,d20017,Steve,Miner
82,d6911,Christian,Duguay
83,d20244,Susanne,Ofteringer
84,d19358,Sean,Penn
85,d6190,Brian,Gibson
86,d11160,Jafar,Panahi
87,d9546,Gary,Fleder
88,d15077,Marleen,Gorris
89,d20709,Tim,Reid
90,d10499,Henry,Jaglom
91,d17561,Philip,Haas
92,d18274,Ridley,Scott
93,d13492,Ken,Kwapis
94,d17274,Penelope,Spheeris
95,d12315,John,Badham
96,d12363,John,Duigan
97,d19923,Stephen,Frears
98,d21543,Wes,Craven
99,d20443,Ted,Demme
100,d12602,John,Woo
101,d13519,Kenneth,Branagh
102,d15270,Mathieu,Kassovitz
104,d16453,Nick,Broomfield
105,d10341,Harold,Becker
106,d21541,Wes,Anderson
107,d16456,Nick,Castle
108,d12355,John,Dahl
109,d8124,Dennis,Dugan
110,d7158,Clint,Eastwood
111,d8386,Doris,Dörrie
112,d6198,Brian,Henson
113,d833, David,Lane
114,d18497,Robert,Leacock
115,d11219,James,Bruce
116,d15538,Mel,Gibson
118,d19839,Stanley,Tong
119,d5636,Barbet,Schroeder
120,d16198,Mort,Ransen
121,d22075,Étienne,Chatiliez
122,d12627,Jon,Blair
123,d5777,Benjamin,Ross
124,d8885,Eric,Schaeffer
125,d4945,Andrew,Davis
126,d6691,Charles T.,Kanganis
128,d18017,Reginald,Hudlin
129,d13290,Kar-Wai,Wong
130,d9928,Giuseppe,Tornatore
131,d7922,David O.,Russell
132,d17420,Peter,MacDonald
133,d16207,Moufida,Tlatli
134,d15896,Michel,Negroponte
135,d6330,Bryan,Gordon
136,d17998,Rebecca,Miller
137,d15740,Michael,Lindsay-Hogg
138,d21620,William,Friedkin
139,d22051,Ángel,Muñiz
140,d7260,Craig,Baldwin
141,d7958,David S.,Ward
142,d15029,Mark,Rappaport
143,d8256,Dirk,Shafer
144,d20475,Terence,Davies
145,d19109,Sandip,Ray
146,d12626,Jon,Avnet
147,d16011,Mike,Nichols
148,d11193,Jakov,Sedlar
149,d8618,Edward,Burns
150,d15598,Michael,Bay
151,d6983,Christopher,Cain
152,d19271,Scott,Kalvert
153,d16010,Mike,Newell
154,d10256,Hal,Hartley
155,d18753,Ron,Howard
156,d15621,Michael,Caton-Jones
157,d4144,Abel,Ferrara
158,d12267,Joel,Schumacher
159,d14455,Luis,Buñuel
160,d12325,John,Boorman
161,d17056,Paul,Auster
162,d3924, Wayne,Wang
163,d1428, Harvey,Wang
164,d15766,Michael,Moore
165,d6099,Brad,Silberling
