imdb_id,actor_id
tt0113497,a81066
tt0113497,a38430
tt0113497,a24769
tt0113497,a62286
tt0113228,a52243
tt0113228,a47579
tt0113228,a49123
tt0113228,a3323
tt0114885,a37726
tt0114885,a7334
tt0114885,a22957
tt0114885,a66270
tt0113041,a51747
tt0113041,a42476
tt0113041,a70884
tt0113041,a81075
tt0113277,a60051
tt0113277,a58216
tt0113277,a43415
tt0113277,a78868
tt0114319,a28472
tt0114319,a59681
tt0114319,a43789
tt0114319,a51205
tt0112302,a75750
tt0112302,a65155
tt0112302,a69364
tt0112302,a66284
tt0114576,a21413
tt0114576,a11287
tt0114576,a7066
tt0114576,a81885
tt0113189,a13045
tt0113189,a7723
tt0113189,a69452
tt0113189,a39781
tt0112346,a24113
tt0112346,a8568
tt0112346,a70430
tt0112346,a28717
tt0112896,a58083
tt0112896,a50120
tt0112896,a80025
tt0112896,a82316
tt0112453,a5507
tt0112453,a37633
tt0112453,a28355
tt0112453,a20774
tt0113987,a37477
tt0113987,a2056
tt0113987,a11287
tt0113987,a34995
tt0112760,a22005
tt0112760,a55129
tt0112760,a46376
tt0112760,a17206
tt0112641,a58217
tt0112641,a73609
tt0112641,a61785
tt0112641,a81723
tt0114388,a28093
tt0114388,a80865
tt0114388,a79429
tt0114388,a81342
tt0113101,a22028
tt0113101,a14605
tt0113101,a31817
tt0113101,a50331
tt0112281,a15720
tt0112281,a53377
tt0112281,a14819
tt0112281,a26647
tt0113845,a72084
tt0113845,a34953
tt0113845,a49079
tt0113845,a10261
tt0113161,a76768
tt0113161,a33923
tt0113161,a67468
tt0113161,a22254
tt0112722,a79975
tt0112722,a38228
tt0112722,a56457
tt0112722,a53368
tt0112401,a72897
tt0112401,a6333
tt0112401,a55572
tt0112401,a22056
tt0114168,a73113
tt0114168,a28068
tt0114168,a36135
tt0114168,a31763
tt0113627,a14635
tt0113627,a70934
tt0113627,a68343
tt0113627,a47993
tt0114057,a27919
tt0114057,a39435
tt0114057,a12151
tt0114057,a60730
tt0114011,a65436
tt0114011,a58903
tt0114011,a9830
tt0114011,a33012
tt0114117,a66717
tt0114117,a36744
tt0114117,a28096
tt0114117,a64789
tt0112682,a61670
tt0112682,a25976
tt0112682,a78796
tt0112682,a62433
tt0115012,a31894
tt0115012,a48057
tt0115012,a79540
tt0115012,a48092
tt0112792,a62048
tt0112792,a25063
tt0112792,a77954
tt0112792,a7170
tt0114746,a53670
tt0114746,a81103
tt0114746,a69641
tt0114746,a16823
tt0114952,a70438
tt0114952,a38128
tt0114952,a53014
tt0114952,a43415
tt0112431,a16359
tt0112431,a51289
tt0112431,a50988
tt0112431,a79976
tt0112637,a75832
tt0112637,a63562
tt0112637,a79091
tt0112637,a80379
tt0112818,a68540
tt0112818,a61528
tt0112818,a63521
tt0112818,a7066
tt0112286,a65344
tt0112286,a52894
tt0112286,a37050
tt0112286,a73160
tt0113442,a2178
tt0113442,a33628
tt0113442,a59484
tt0113442,a59478
tt0112697,a71219
tt0112697,a21711
tt0112697,a56600
tt0112697,a67222
tt0112749,a40789
tt0112749,a35034
tt0112749,a45416
tt0112749,a24919
tt0114279,a11781
tt0114279,a40153
tt0114279,a53163
tt0114279,a60992
tt0112819,a75135
tt0112819,a21798
tt0112819,a77143
tt0112819,a66382
tt0114272,a41189
tt0114272,a57626
tt0114272,a75633
tt0114272,a79291
tt0113855,a46121
tt0113855,a70895
tt0113855,a4497
tt0113855,a74693
tt0114681,a43330
tt0114681,a23336
tt0114681,a62188
tt0114681,a885
tt0113347,a20206
tt0113347,a20205
tt0113347,a15300
tt0113347,a6080
tt0114369,a29090
tt0114369,a79258
tt0114369,a82833
tt0114369,a62541
tt0114148,a5960
tt0114148,a6108
tt0114148,a7962
tt0114148,a19318
tt0114916,a14209
tt0114916,a20306
tt0114916,a21027
tt0114916,a28701
tt0114814,a6105
tt0114814,a14397
tt0114814,a76517
tt0114814,a62833
tt0109950,a67017
tt0109950,a53440
tt0109950,a22643
tt0109950,a75309
tt0113819,a10221
tt0113819,a16421
tt0113819,a16646
tt0113819,a61487
tt0110299,a78416
tt0110299,a62590
tt0110299,a54425
tt0110299,a52506
tt0112499,a33629
tt0112499,a83439
tt0112499,a68297
tt0112499,a75480
tt0113158,a47512
tt0113158,a81337
tt0113158,a47891
tt0113158,a61664
tt0113541,a55917
tt0113541,a16194
tt0113541,a59475
tt0113541,a11414
tt0113321,a38253
tt0113321,a41131
tt0113321,a6309
tt0113321,a24852
tt0110877,a58353
tt0110877,a76916
tt0110877,a20685
tt0110877,a68900
tt0112714,a10651
tt0112714,a32316
tt0112714,a54579
tt0112714,a75712
tt0113419,a68896
tt0113419,a48564
tt0113419,a20528
tt0113419,a40012
tt0116260,a27647
tt0116260,a34995
tt0116260,a13993
tt0116260,a45688
tt0113862,a24345
tt0113862,a35701
tt0113862,a75705
tt0113862,a24600
tt0116126,a79927
tt0116126,a79922
tt0116126,a40760
tt0116126,a72632
tt0118002,a47016
tt0118002,a13771
tt0118002,a23316
tt0118002,a44846
tt0115683,a4750
tt0115683,a24195
tt0115683,a76375
tt0115683,a80371
tt0116839,a8927
tt0116839,a29150
tt0116839,a58771
tt0116839,a63115
tt0114753,a6885
tt0114753,a52046
tt0114753,a60050
tt0114753,a11428
tt0113149,a394
tt0113149,a6043
tt0113149,a16593
tt0113149,a37179
tt0113118,a20670
tt0113118,a77143
tt0113118,a49011
tt0113118,a48558
tt0116367,a18591
tt0116367,a75068
tt0116367,a42578
tt0116367,a47972
tt0113010,a6107
tt0113010,a20295
tt0113010,a9001
tt0113010,a52867
tt0113537,a34404
tt0113537,a32264
tt0113537,a42661
tt0113537,a7555
tt0113828,a8374
tt0113828,a11660
tt0113828,a51761
tt0113828,a47553
tt0115644,a71681
tt0115644,a52038
tt0115644,a809
tt0115644,a12895
tt0115676,a55703
tt0115676,a4188
tt0115676,a62136
tt0115676,a41720
tt0114367,a80221
tt0114367,a24809
tt0114367,a67189
tt0114367,a46668
tt0113973,a58025
tt0113973,a4970
tt0113973,a63751
tt0113973,a11670
tt0112744,a58014
tt0112744,a56057
tt0112744,a38340
tt0112744,a81873
tt0116731,a55622
tt0116731,a6081
tt0116731,a32125
tt0116731,a30048
tt0112445,a55181
tt0112445,a41483
tt0112445,a59619
tt0112445,a11392
tt0114660,a30152
tt0114660,a48725
tt0114660,a28567
tt0114660,a58653
tt0112379,a2675
tt0112379,a24036
tt0112379,a33124
tt0112379,a59923
tt0114039,a41150
tt0114039,a64491
tt0114039,a47665
tt0114039,a42720
tt0113612,a28766
tt0113612,a48367
tt0113612,a5830
tt0113612,a11621
tt0112365,a67620
tt0112365,a75712
tt0112365,a42906
tt0112365,a42766
tt0118158,a12621
tt0118158,a31960
tt0118158,a68714
tt0118158,a81510
tt0116151,a1816
tt0116151,a24661
tt0116151,a48729
tt0116151,a26559
tt0115697,a26984
tt0115697,a72526
tt0115697,a52113
tt0115697,a25210
tt0113972,a22740
tt0113972,a17092
tt0113972,a24919
tt0113972,a79251
tt0113490,a61017
tt0113490,a57880
tt0113490,a24257
tt0113490,a79824
tt0117002,a66076
tt0117002,a50765
tt0117002,a18903
tt0117002,a30013
tt0114825,a56637
tt0114825,a7334
tt0114825,a61215
tt0114825,a34795
tt0115639,a23344
tt0115639,a25986
tt0115639,a31390
tt0115639,a37246
tt0115759,a76768
tt0115759,a71676
tt0115759,a52137
tt0115759,a48388
tt0113403,a12637
tt0113403,a17061
tt0113403,a19047
tt0113403,a27041
tt0113247,a16092
tt0113247,a44860
tt0113247,a74698
tt0113247,a30933
tt0111173,a29309
tt0111173,a46798
tt0111173,a61768
tt0111173,a39617
tt0113283,a13033
tt0113283,a83400
tt0113283,a1745
tt0113283,a10874
tt0115907,a60051
tt0115907,a20941
tt0115907,a28355
tt0115907,a1165
tt0115734,a81232
tt0115734,a81189
tt0115734,a24152
tt0115734,a28690
tt0117102,a22185
tt0117102,a63644
tt0117102,a20940
tt0117102,a73518
tt0118040,a48498
tt0118040,a27866
tt0118040,a20188
tt0118040,a52867
tt0116483,a68325
tt0116483,a52867
tt0116483,a11774
tt0116483,a7614
tt0112579,a25189
tt0112579,a73759
tt0112579,a19738
tt0112579,a71702
tt0110251,a69223
tt0110251,a68388
tt0110251,a4870
tt0110251,a76901
tt0117110,a20891
tt0117110,a19318
tt0117110,a68690
tt0117110,a9932
tt0112646,a77259
tt0112646,a1512
tt0112646,a4027
tt0112646,a4925
tt0113276,a7080
tt0113276,a12153
tt0113276,a50027
tt0113276,a58001
tt0112573,a66197
tt0112573,a46824
tt0112573,a57675
tt0112573,a19888
tt0075314,a138
tt0075314,a851
tt0075314,a3914
tt0075314,a3855
tt0113326,a16808
tt0113326,a56339
tt0113326,a82458
tt0113326,a77207
tt0115645,a73760
tt0115645,a57579
tt0115645,a29577
tt0115645,a80209
tt0113774,a15893
tt0113774,a67409
tt0113774,a59384
tt0113774,a57640
tt0112556,a69971
tt0112556,a54893
tt0112556,a5320
tt0112556,a52331
tt0112373,a12152
tt0112373,a12190
tt0112373,a18597
tt0112373,a48187
tt0115033,a4205
tt0115033,a70432
tt0115033,a60052
tt0115033,a58881
tt0116606,a60759
tt0116606,a68938
tt0116606,a73477
tt0116606,a50256
tt0114536,a30152
tt0114536,a3992
tt0114536,a76007
tt0114536,a60449
tt0117427,a9199
tt0117427,a8412
tt0117427,a38225
tt0117427,a885
tt0106473,a21028
tt0106473,a55916
tt0106473,a23913
tt0106473,a23386
tt0103859,a56637
tt0103859,a31425
tt0103859,a9178
tt0103859,a32960
tt0109424,a48313
tt0109424,a47832
tt0109424,a81592
tt0109424,a41747
tt0114808,a16160
tt0114808,a48837
tt0114808,a68871
tt0114808,a76854
tt0116324,a73479
tt0116324,a4264
tt0116324,a47693
tt0116324,a55583
tt0110647,a65599
tt0110647,a42356
tt0110647,a10078
tt0110647,a27816
tt0111055,a35792
tt0111055,a59889
tt0111055,a67765
tt0111055,a68850
tt0110217,a18778
tt0110217,a61503
tt0114131,a17044
tt0114131,a35762
tt0114131,a31992
tt0114131,a45984
tt0112364,a65391
tt0112364,a10664
tt0112364,a47877
tt0112364,a78283
tt0113107,a79306
tt0113107,a76296
tt0113107,a66412
tt0113107,a14397
tt0113451,a15932
tt0113451,a27866
tt0113451,a60320
tt0113451,a20348
tt0114015,a51827
tt0114015,a64588
tt0114015,a15336
tt0114015,a78614
tt0114500,a24746
tt0114500,a33041
tt0114500,a37636
tt0114500,a40997
tt0116130,a32455
tt0116130,a37246
tt0116130,a69157
tt0116130,a72958
tt0113125,a38305
tt0113125,a69628
tt0113756,a61208
tt0113756,a74271
tt0113756,a59686
tt0113756,a7163
tt0113952,a76042
tt0113952,a8207
tt0113952,a67126
tt0113952,a68906
tt0114618,a930
tt0114618,a16666
tt0114618,a16743
tt0114618,a56365
tt0118055,a64787
tt0118055,a62045
tt0118055,a16926
tt0118055,a51093
tt0115685,a81066
tt0115685,a33923
tt0115685,a46298
tt0115685,a80736
tt0113200,a70434
tt0113200,a82512
tt0113200,a26753
tt0113200,a33409
tt0112585,a1567
tt0112585,a5710
tt0112585,a11001
tt0112585,a12756
tt0112442,a11935
tt0112442,a74867
tt0112442,a82094
tt0112442,a42070
tt0112342,a46340
tt0112342,a71679
tt0112342,a23371
tt0112342,a27230
tt0112461,a23059
tt0112461,a11985
tt0112461,a72170
tt0112461,a50316
tt0112427,a65617
tt0112427,a32515
tt0112427,a16270
tt0112427,a4059
tt0109093,a38273
tt0109093,a23886
tt0109093,a49922
tt0109093,a82582
tt0112384,a34604
tt0112384,a61202
tt0112384,a5502
tt0112384,a71453
tt0114287,a57580
tt0114287,a46360
tt0114287,a38298
tt0114287,a66997
tt0112288,a75284
tt0112288,a79251
tt0112288,a69425
tt0112288,a26802
tt0112462,a43417
tt0112462,a40759
tt0112462,a15719
tt0112462,a43329
tt0061395,a22628
tt0061395,a72389
tt0061395,a62232
tt0061395,a60101
tt0112495,a4269
tt0112495,a44297
tt0112495,a52901
tt0112495,a32638
tt0112541,a64876
tt0112541,a28717
tt0112541,a6907
tt0112541,a32146
tt0109370,a15135
tt0109370,a1645
tt0109370,a61667
tt0109370,a62833
tt0112642,a47705
tt0112642,a79008
tt0112642,a61310
tt0112642,a55890
tt0112688,a42579
tt0112688,a77320
tt0112688,a48388
tt0112688,a62081
tt0112715,a48468
tt0112715,a79395
tt0112715,a37997
tt0112715,a20889
tt0112740,a79760
tt0112740,a33923
tt0112740,a20283
tt0112740,a25063
tt0109508,a20591
tt0109508,a44553
tt0109508,a20588
tt0109508,a20589
tt0112851,a6334
tt0112851,a35577
tt0112851,a2268
tt0112851,a51327
tt0112857,a79760
tt0112857,a71535
tt0112857,a7709
tt0112857,a17215
tt0112864,a81113
tt0112864,a38994
tt0112864,a39404
tt0112864,a32772
tt0112887,a24929
tt0112887,a53023
tt0112887,a68931
tt0112887,a80928
tt0113044,a21847
tt0113044,a8240
tt0113044,a40672
tt0113044,a63680
tt0113071,a19313
tt0113071,a30797
tt0113071,a59681
tt0113071,a20500
tt0113114,a65599
tt0113114,a15284
tt0113114,a69004
tt0113114,a68999
tt0113243,a54557
tt0113243,a40606
tt0113243,a12021
tt0113243,a48226
tt0113464,a80036
tt0113464,a39481
tt0113464,a16396
tt0113464,a75897
tt0113481,a64924
tt0113481,a54090
tt0113481,a38638
tt0113481,a43972
tt0113492,a72897
tt0113492,a4641
tt0113492,a69157
tt0113492,a63479
tt0113500,a70872
tt0113500,a15716
tt0113500,a77137
tt0113500,a24215
tt0113540,a28013
tt0113540,a36042
tt0113540,a62291
tt0113540,a16774
tt0113677,a14147
tt0113677,a42547
tt0113677,a56457
tt0113677,a83099
tt0113690,a6014
tt0113690,a25319
tt0113690,a6669
tt0113690,a58862
tt0107447,a31055
tt0107447,a51594
tt0107447,a6312
tt0107447,a43914
tt0113729,a58907
tt0113729,a7085
tt0113729,a48226
tt0113729,a16650
tt0113749,a23658
tt0113749,a48977
tt0113749,a47186
tt0113749,a28510
tt0113820,a4551
tt0113820,a11470
tt0113820,a15350
tt0113820,a28891
tt0113851,a61657
tt0113851,a31759
tt0113851,a71272
tt0113851,a49685
tt0110604,a83390
tt0110604,a65800
tt0110604,a65501
tt0110604,a82274
tt0110620,a49923
tt0110620,a64551
tt0110620,a30574
tt0110620,a28358
tt0113957,a13773
tt0113957,a58492
tt0113957,a54471
tt0113957,a5885
tt0113986,a32533
tt0113986,a55572
tt0113986,a4188
tt0113986,a20940
tt0114095,a63047
tt0114095,a22244
tt0114095,a25079
tt0114095,a54891
tt0114194,a79252
tt0114194,a44823
tt0114194,a50345
tt0114194,a73573
tt0114241,a27068
tt0114241,a31811
tt0114241,a7016
tt0114241,a35840
tt0114323,a55627
tt0114323,a8995
tt0114323,a58464
tt0114323,a13875
tt0114345,a55622
tt0114345,a59380
tt0114345,a24930
tt0114345,a2999
tt0114435,a6270
tt0114435,a10603
tt0114435,a19182
tt0114435,a24300
tt0114436,a9000
tt0114436,a50082
tt0114436,a30847
tt0114436,a62669
tt0114478,a26358
tt0114478,a83435
tt0114478,a30898
tt0114478,a42578
tt0114496,a66076
tt0114496,a63819
tt0114496,a24930
tt0114496,a67126
tt0114508,a43769
tt0114508,a50343
tt0114508,a55232
tt0114508,a80527
tt0114534,a24932
tt0114534,a63892
tt0114534,a27925
tt0114534,a22665
tt0114558,a27676
tt0114558,a7334
tt0114558,a47972
tt0114558,a71535
tt0058450,a22628
tt0058450,a16163
tt0058450,a78384
tt0058450,a54179
tt0114666,a34622
tt0114666,a15696
tt0114666,a42712
tt0114666,a72558
tt0114663,a74426
tt0114663,a52046
tt0114663,a52508
tt0114663,a56476
tt0114702,a23059
tt0114702,a75633
tt0114702,a10877
tt0114702,a10297
tt0114682,a72084
tt0114682,a74425
tt0114682,a47448
tt0114682,a16926
tt0114781,a69590
tt0114781,a10850
tt0114781,a52987
tt0114781,a35848
tt0114798,a50044
tt0114798,a77320
tt0114798,a65510
tt0114798,a17206
tt0114805,a6915
tt0114805,a9106
tt0114805,a9338
tt0114805,a11644
tt0114887,a64924
tt0114887,a74599
tt0114887,a63893
