,imdb_id,actor_id
0,tt0114709,a82063
1,tt0114709,a57653
2,tt0114709,a14749
3,tt0114709,a27662
4,tt0113497,a79507
5,tt0113497,a29362
6,tt0113497,a33039
7,tt0113497,a7263
8,tt0113228,a82879
9,tt0113228,a24683
10,tt0113228,a54702
11,tt0113228,a3521
12,tt0114885,a82966
13,tt0114885,a3240
14,tt0114885,a35775
15,tt0114885,a34551
16,tt0113041,a81146
17,tt0113041,a14204
18,tt0113041,a38960
19,tt0113041,a32948
20,tt0113277,a63116
21,tt0113277,a50020
22,tt0113277,a59243
23,tt0113277,a29267
24,tt0114319,a70101
25,tt0114319,a30369
26,tt0114319,a21123
27,tt0114319,a43144
28,tt0112302,a72586
29,tt0112302,a7237
30,tt0112302,a17053
31,tt0112302,a9579
32,tt0114576,a71553
33,tt0114576,a47706
34,tt0114576,a48629
35,tt0114576,a60871
36,tt0113189,a78487
37,tt0113189,a52942
38,tt0113189,a24476
39,tt0113189,a17907
40,tt0112346,a76266
41,tt0112346,a3897
42,tt0112346,a38959
43,tt0112346,a40917
44,tt0112896,a74404
45,tt0112896,a46984
46,tt0112896,a55566
47,tt0112896,a2573
48,tt0112453,a73608
49,tt0112453,a6957
50,tt0112453,a7677
51,tt0112453,a27578
52,tt0113987,a64185
53,tt0113987,a27864
54,tt0113987,a47706
55,tt0113987,a15432
56,tt0112760,a69376
57,tt0112760,a39720
58,tt0112760,a18758
59,tt0112760,a39916
60,tt0112641,a79339
61,tt0112641,a53613
62,tt0112641,a28189
63,tt0112641,a25511
64,tt0114388,a71136
65,tt0114388,a58224
66,tt0114388,a22071
67,tt0114388,a31623
68,tt0113101,a80049
69,tt0113101,a2309
70,tt0113101,a59315
71,tt0113101,a36843
72,tt0112281,a71937
73,tt0112281,a23584
74,tt0112281,a54259
75,tt0112281,a40103
76,tt0113845,a82960
77,tt0113845,a61371
78,tt0113845,a26903
79,tt0113845,a49956
80,tt0113161,a72450
81,tt0113161,a19688
82,tt0113161,a48980
83,tt0113161,a12623
84,tt0112722,a80743
85,tt0112722,a23068
86,tt0112722,a14032
