awards,imdb_id
4 wins & 9 nominations.,tt0113497
2 wins & 2 nominations.,tt0113228
8 wins & 9 nominations.,tt0114885
Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,tt0113041
12 nominations.,tt0113277
Nominated for 2 Oscars. Another 2 wins & 4 nominations.,tt0114319
1 win & 5 nominations.,tt0112302
N/A,tt0114576
Nominated for 2 BAFTA Film Awards. Another 2 wins & 6 nominations.,tt0113189
Nominated for 1 Oscar. Another 1 win & 9 nominations.,tt0112346
N/A,tt0112896
1 nomination.,tt0112453
Nominated for 4 Oscars. Another 10 wins & 13 nominations.,tt0113987
1 nomination.,tt0112760
Nominated for 1 Oscar. Another 3 wins & 9 nominations.,tt0112641
Won 1 Oscar. Another 31 wins & 44 nominations.,tt0114388
1 win & 1 nomination.,tt0113101
7 wins & 6 nominations.,tt0112281
1 nomination.,tt0113845
Won 1 Golden Globe. Another 5 wins & 15 nominations.,tt0113161
2 wins & 1 nomination.,tt0112722
1 win & 1 nomination.,tt0112401
1 win & 1 nomination.,tt0114168
Won 1 Oscar. Another 30 wins & 26 nominations.,tt0113627
3 nominations.,tt0114057
1 nomination.,tt0114011
7 wins & 2 nominations.,tt0114117
2 wins & 11 nominations.,tt0112682
Nominated for 1 Oscar. Another 5 wins & 3 nominations.,tt0115012
6 wins & 6 nominations.,tt0112792
Nominated for 2 Oscars. Another 9 wins & 18 nominations.,tt0114746
N/A,tt0114952
Won 1 Oscar. Another 18 wins & 23 nominations.,tt0112431
Nominated for 1 BAFTA Film Award. Another 7 wins & 7 nominations.,tt0112637
Won 1 Oscar. Another 20 wins & 19 nominations.,tt0112818
N/A,tt0112286
1 win & 3 nominations.,tt0113442
6 wins & 11 nominations.,tt0112697
1 win & 4 nominations.,tt0112749
Nominated for 2 Oscars. Another 7 wins & 10 nominations.,tt0114279
2 nominations.,tt0112819
Won 2 Oscars. Another 2 nominations.,tt0114272
1 win & 3 nominations.,tt0113855
Won 1 Golden Globe. Another 6 wins & 12 nominations.,tt0114681
4 nominations.,tt0113347
Nominated for 1 Oscar. Another 25 wins & 33 nominations.,tt0114369
Won 2 Oscars. Another 13 wins & 6 nominations.,tt0114148
5 nominations.,tt0114916
Won 2 Oscars. Another 32 wins & 15 nominations.,tt0114814
N/A,tt0109950
Won 1 Oscar. Another 11 wins & 11 nominations.,tt0113819
21 wins & 17 nominations.,tt0110299
N/A,tt0112499
Nominated for 1 Oscar. Another 4 wins & 6 nominations.,tt0113158
2 nominations.,tt0113541
2 nominations.,tt0113321
Won 1 Oscar. Another 29 wins & 17 nominations.,tt0110877
8 wins & 8 nominations.,tt0112714
1 win & 6 nominations.,tt0113419
N/A,tt0116260
Nominated for 1 Oscar. Another 5 wins & 4 nominations.,tt0113862
1 nomination.,tt0116126
N/A,tt0118002
3 wins & 1 nomination.,tt0115683
1 nomination.,tt0116839
2 nominations.,tt0114753
Nominated for 1 Golden Globe. Another 3 wins & 5 nominations.,tt0113149
1 win & 5 nominations.,tt0113118
4 wins & 9 nominations.,tt0116367
4 nominations.,tt0113010
1 nomination.,tt0113537
Won 1 Golden Globe. Another 5 wins & 2 nominations.,tt0113828
N/A,tt0115644
3 wins.,tt0115676
3 nominations.,tt0114367
4 wins.,tt0113973
Nominated for 1 Golden Globe. Another 3 nominations.,tt0112744
1 win & 2 nominations.,tt0116731
5 wins & 3 nominations.,tt0112445
2 wins.,tt0114660
Won 1 Oscar. Another 6 wins & 8 nominations.,tt0112379
2 wins & 2 nominations.,tt0114039
1 nomination.,tt0113612
Nominated for 1 Oscar. Another 2 wins & 2 nominations.,tt0112365
1 nomination.,tt0118158
4 nominations.,tt0116151
N/A,tt0115697
N/A,tt0113972
N/A,tt0113490
6 nominations.,tt0117002
N/A,tt0114825
1 win & 3 nominations.,tt0115639
1 win & 3 nominations.,tt0115759
1 win & 1 nomination.,tt0113403
8 wins & 13 nominations.,tt0113247
1 nomination.,tt0111173
1 nomination.,tt0113283
1 nomination.,tt0115907
2 wins & 1 nomination.,tt0115734
2 nominations.,tt0117102
1 win.,tt0118040
1 win & 4 nominations.,tt0116483
Nominated for 1 Oscar. Another 6 wins & 14 nominations.,tt0112579
3 wins & 1 nomination.,tt0110251
4 nominations.,tt0117110
N/A,tt0112646
N/A,tt0113276
Won 5 Oscars. Another 26 wins & 28 nominations.,tt0112573
Nominated for 4 Oscars. Another 21 wins & 15 nominations.,tt0075314
2 wins & 11 nominations.,tt0113326
N/A,tt0115645
10 wins & 6 nominations.,tt0113774
1 win & 5 nominations.,tt0112556
Won 1 Oscar. Another 8 wins & 5 nominations.,tt0112373
1 win & 2 nominations.,tt0115033
N/A,tt0116606
N/A,tt0114536
N/A,tt0117427
12 wins & 5 nominations.,tt0106473
1 win & 4 nominations.,tt0103859
8 wins & 19 nominations.,tt0109424
Nominated for 1 Oscar. Another 13 wins & 13 nominations.,tt0114808
1 win & 10 nominations.,tt0116324
1 nomination.,tt0110647
7 wins.,tt0111055
3 wins & 1 nomination.,tt0110217
N/A,tt0114131
4 wins & 1 nomination.,tt0112364
N/A,tt0113107
2 nominations.,tt0113451
N/A,tt0114015
1 win.,tt0114500
N/A,tt0116130
2 wins & 1 nomination.,tt0113125
N/A,tt0113756
2 nominations.,tt0113952
1 nomination.,tt0114618
Nominated for 1 Oscar. Another 3 wins & 2 nominations.,tt0118055
Nominated for 1 Oscar. Another 6 wins & 25 nominations.,tt0115685
1 win.,tt0113200
4 wins & 1 nomination.,tt0112585
1 win & 3 nominations.,tt0112442
3 nominations.,tt0112342
N/A,tt0112461
2 nominations.,tt0112427
1 win & 2 nominations.,tt0109093
Won 2 Oscars. Another 24 wins & 49 nominations.,tt0112384
Nominated for 1 Oscar. Another 2 wins & 2 nominations.,tt0114287
5 wins & 4 nominations.,tt0112288
Nominated for 3 Oscars. Another 10 wins & 22 nominations.,tt0112462
Nominated for 1 BAFTA Film Award. Another 5 wins & 2 nominations.,tt0061395
2 wins & 3 nominations.,tt0112495
2 nominations.,tt0112541
N/A,tt0109370
4 wins & 5 nominations.,tt0112642
6 nominations.,tt0112688
2 wins & 11 nominations.,tt0112715
Nominated for 3 Oscars. Another 5 wins & 6 nominations.,tt0112740
16 wins & 5 nominations.,tt0109508
1 win & 4 nominations.,tt0112851
3 wins & 13 nominations.,tt0112857
2 wins & 3 nominations.,tt0112864
1 nomination.,tt0112887
N/A,tt0113044
N/A,tt0113071
2 wins & 2 nominations.,tt0113114
N/A,tt0113243
1 win & 4 nominations.,tt0113464
2 wins & 3 nominations.,tt0113481
2 wins & 5 nominations.,tt0113492
1 win & 1 nomination.,tt0113500
1 win & 5 nominations.,tt0113540
7 wins & 6 nominations.,tt0113677
2 wins & 1 nomination.,tt0113690
1 win & 3 nominations.,tt0107447
N/A,tt0113729
N/A,tt0113749
1 nomination.,tt0113820
N/A,tt0113851
3 wins & 3 nominations.,tt0110604
2 wins & 5 nominations.,tt0110620
2 wins & 1 nomination.,tt0113957
1 win & 2 nominations.,tt0113986
1 nomination.,tt0114095
2 nominations.,tt0114194
N/A,tt0114241
4 wins & 12 nominations.,tt0114323
1 win & 10 nominations.,tt0114345
N/A,tt0114435
10 wins & 10 nominations.,tt0114436
9 wins & 8 nominations.,tt0114478
Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,tt0114496
3 wins & 6 nominations.,tt0114508
N/A,tt0114534
2 wins & 4 nominations.,tt0114558
Nominated for 5 Oscars. Another 5 wins & 2 nominations.,tt0058450
1 nomination.,tt0114666
1 nomination.,tt0114663
1 nomination.,tt0114702
Nominated for 2 Golden Globes. Another 1 nomination.,tt0114682
N/A,tt0114781
Nominated for 1 Oscar. Another 2 nominations.,tt0114798
2 wins & 1 nomination.,tt0114805
Won 1 Golden Globe. Another 4 nominations.,tt0114887
Nominated for 1 Oscar. Another 5 wins & 8 nominations.,tt0114898
N/A,tt0114928
3 nominations.,tt0114938
Nominated for 1 BAFTA Film Award. Another 1 win & 2 nominations.,tt0109340
N/A,tt0112602
Won 1 Oscar. Another 3 wins & 7 nominations.,tt0111579
Nominated for 1 Oscar. Another 19 wins & 3 nominations.,tt0110882
1 win & 7 nominations.,tt0112471
1 nomination.,tt0112508
N/A,tt0112438
1 win & 2 nominations.,tt0112571
2 wins & 3 nominations.,tt0112757
N/A,tt0112643
1 win.,tt0112679
5 wins & 10 nominations.,tt0109445
Nominated for 1 Oscar. Another 4 wins & 4 nominations.,tt0112883
2 wins & 2 nominations.,tt0109635
N/A,tt0112899
N/A,tt0109676
N/A,tt0112854
4 nominations.,tt0109579
1 win & 8 nominations.,tt0109642
5 wins & 3 nominations.,tt0109686
Nominated for 1 Oscar. Another 5 wins & 13 nominations.,tt0111797
15 wins & 10 nominations.,tt0109759
1 win & 4 nominations.,tt0109758
Won 2 Oscars. Another 23 wins & 28 nominations.,tt0109707
2 nominations.,tt0113117
1 win.,tt0113097
3 nominations.,tt0113028
5 nominations.,tt0113198
1 nomination.,tt0113303
2 nominations.,tt0113089
Nominated for 1 Oscar. Another 6 wins & 3 nominations.,tt0109771
1 win.,tt0113199
N/A,tt0113234
1 nomination.,tt0109906
Nominated for 1 Oscar. Another 21 wins & 7 nominations.,tt0110057
Nominated for 1 Oscar. Another 17 wins & 13 nominations.,tt0110005
N/A,tt0110066
1 nomination.,tt0110116
N/A,tt0110006
N/A,tt0113360
N/A,tt0110099
Nominated for 2 Oscars. Another 22 wins & 25 nominations.,tt0110148
2 nominations.,tt0113463
N/A,tt0110189
Nominated for 1 Oscar. Another 4 nominations.,tt0110216
1 win.,tt0113501
1 nomination.,tt0113538
1 nomination.,tt0113552
Won 6 Oscars. Another 50 wins & 28 nominations.,tt0076759
Nominated for 3 Oscars. Another 5 wins & 15 nominations.,tt0110367
Nominated for 2 Oscars. Another 3 wins & 7 nominations.,tt0113670
6 wins & 3 nominations.,tt0110296
N/A,tt0109731
Nominated for 1 Golden Globe. Another 26 wins & 13 nominations.,tt0103994
Won 1 Oscar. Another 2 wins & 10 nominations.,tt0110322
N/A,tt0110443
4 wins & 6 nominations.,tt0110365
N/A,tt0107566
2 nominations.,tt0110391
1 nomination.,tt0113691
Won 1 Oscar. Another 15 wins & 18 nominations.,tt0110428
Nominated for 1 Oscar. Another 13 nominations.,tt0109836
2 nominations.,tt0113755
1 nomination.,tt0110538
1 nomination.,tt0110516
1 nomination.,tt0110527
1 nomination.,tt0113808
Nominated for 1 Oscar. Another 3 wins & 4 nominations.,tt0113896
2 wins & 2 nominations.,tt0113870
Nominated for 2 Oscars. Another 5 wins & 6 nominations.,tt0110684
Nominated for 1 Oscar. Another 5 wins & 6 nominations.,tt0110638
3 nominations.,tt0113967
N/A,tt0117169
1 nomination.,tt0106402
N/A,tt0113948
1 nomination.,tt0110671
Nominated for 1 Golden Globe. Another 5 wins & 8 nominations.,tt0110632
N/A,tt0110737
22 wins & 6 nominations.,tt0110729
N/A,tt0114151
5 wins & 4 nominations.,tt0114069
5 wins & 11 nominations.,tt0110413
N/A,tt0114113
N/A,tt0114210
Won 1 Oscar. Another 62 wins & 69 nominations.,tt0110912
2 wins & 2 nominations.,tt0114084
5 wins & 7 nominations.,tt0105652
4 wins & 3 nominations.,tt0110889
Nominated for 4 Oscars. Another 6 wins & 28 nominations.,tt0110932
2 wins & 5 nominations.,tt0114129
Nominated for 1 Oscar. Another 9 wins & 12 nominations.,tt0110963
1 nomination.,tt0114214
Nominated for 1 Oscar. Another 1 nomination.,tt0114296
Nominated for 2 Golden Globes. Another 3 wins & 1 nomination.,tt0110907
Nominated for 3 Oscars. Another 17 wins & 21 nominations.,tt0111495
Nominated for 3 Golden Globes. Another 20 wins & 14 nominations.,tt0108394
1 win & 4 nominations.,tt0111507
8 wins & 5 nominations.,tt0110769
1 win.,tt0114268
