imdb_id,director_id
tt0113497,d9185
tt0113228,d4567
tt0114885,d21151
tt0113041,d18284
tt0113277,d12286
tt0114319,d15691
tt0112302,d8044
tt0114576,d8615
tt0113189,d2777
tt0112346,d16370
tt0112896,d2355
tt0112453,d21063
tt0113987,d19156
tt0112760,d7632
tt0112641,d17801
tt0114388,d11088
tt0113101,d397
tt0113101,d16726
tt0113101,d16743
tt0113101,d19579
tt0112281,d14617
tt0113845,d17031
tt0113161,d18778
tt0112722,d358
tt0112401,d4781
tt0114168,d17299
tt0113627,d5655
tt0114057,d15097
tt0114011,d6653
tt0114117,d13191
tt0112682,d2893
tt0112682,d9079
tt0115012,d21939
tt0112792,d18643
tt0114746,d6578
tt0114952,d500
tt0112431,d14411
tt0112637,d7532
tt0112818,d16642
tt0112286,d11780
tt0113442,d19702
tt0112697,d7830
tt0112749,d16845
tt0114279,d11693
tt0112819,d8494
tt0112819,d8490
tt0114272,d8209
tt0113855,d430
tt0114681,d17378
tt0113347,d13619
tt0114369,d5670
tt0114148,d6187
tt0114148,d6746
tt0114916,d17022
tt0114814,d18441
tt0109950,d13854
tt0113819,d278
tt0110299,d349
tt0112499,d18564
tt0113158,d7183
tt0113541,d19892
tt0113321,d5900
tt0110877,d16081
tt0110877,d20094
tt0112714,d11310
tt0113419,d14881
tt0116260,d17633
tt0113862,d7975
tt0116126,d1099
tt0118002,d1474
tt0115683,d1881
tt0116839,d12283
tt0114753,d5820
tt0113149,d989
tt0113118,d7028
tt0116367,d16753
tt0113010,d18468
tt0113537,d1280
tt0113828,d11241
tt0115644,d6765
tt0115676,d13341
tt0114367,d4948
tt0113973,d14624
tt0112744,d15314
tt0116731,d6528
tt0112445,d14981
tt0114660,d5757
tt0112379,d6893
tt0114039,d16359
tt0113612,d8920
tt0112365,d7376
tt0118158,d17822
tt0116151,d10645
tt0115697,d18859
tt0113972,d895
tt0113490,d4950
tt0117002,d5999
tt0114825,d3968
tt0115639,d4496
tt0115759,d21474
tt0113403,d2195
tt0113247,d9609
tt0111173,d430
tt0113283,d2361
tt0115907,d1343
tt0115734,d439
tt0117102,d3005
tt0118040,d4198
tt0116483,d4942
tt0112579,d5076
tt0110251,d5057
tt0117110,d7958
tt0117110,d10817
tt0112646,d11035
tt0113276,d2427
tt0112573,d6529
tt0075314,d17801
tt0113326,d19964
tt0115645,d17714
tt0113774,d16186
tt0112556,d3177
tt0112373,d1830
tt0115033,d16924
tt0116606,d17554
tt0114536,d4329
tt0117427,d9506
tt0106473,d18643
tt0103859,d8476
tt0109424,d21461
tt0114808,d19976
tt0116324,d17091
tt0110647,d11984
tt0111055,d19910
tt0110217,d14153
tt0114131,d6866
tt0112364,d13298
tt0113107,d11567
tt0113451,d6060
tt0114015,d13953
tt0114500,d1006
tt0116130,d20849
tt0113125,d16204
tt0113756,d18003
tt0113952,d4323
tt0114618,d16263
tt0118055,d829
tt0115685,d14291
tt0113200,d17853
tt0112585,d2556
tt0112442,d1296
tt0112342,d2704
tt0112461,d9462
tt0112427,d14233
tt0109093,d7699
tt0112384,d8404
tt0114287,d3015
tt0112288,d5591
tt0112462,d17746
tt0061395,d2627
tt0112495,d2025
tt0112541,d794
tt0112541,d20830
tt0112541,d20825
tt0109370,d13607
tt0112642,d18344
tt0112688,d11164
tt0112715,d12454
tt0112740,d17825
tt0109508,d22037
tt0112851,d16753
tt0112857,d5979
tt0112864,d12945
tt0112887,d554
tt0113044,d13048
tt0113071,d22014
tt0113114,d11614
tt0113243,d18713
tt0113464,d701
tt0113481,d11711
tt0113492,d2803
tt0113500,d5891
tt0113540,d3463
tt0113677,d4611
tt0113690,d1123
tt0107447,d576
tt0113729,d1760
tt0113749,d18645
tt0113820,d18863
tt0113851,d510
tt0110604,d20792
tt0110620,d286
tt0113957,d21342
tt0113986,d3676
tt0114095,d12694
tt0114194,d21200
tt0114241,d16421
tt0114323,d7804
tt0114345,d9118
tt0114435,d16636
tt0114436,d20473
tt0114478,d20843
tt0114496,d7483
tt0114508,d4757
tt0114534,d9712
tt0114558,d1728
tt0058450,d4499
tt0114666,d19207
tt0114663,d3774
tt0114702,d8241
tt0114682,d9940
tt0114781,d13913
tt0114798,d9720
tt0114805,d9734
tt0114887,d566
tt0114898,d16454
tt0114928,d14060
tt0114938,d8107
tt0109340,d5655
tt0112602,d1371
tt0111579,d13225
tt0110882,d12236
tt0112471,d11578
tt0112508,d4351
tt0112438,d5578
tt0112571,d16929
tt0112757,d8353
tt0112643,d6881
tt0112679,d14540
tt0109445,d18645
tt0112883,d11367
tt0109635,d11397
tt0112899,d2007
tt0109676,d895
tt0112854,d1073
tt0109579,d15675
tt0109642,d7388
tt0109686,d5481
tt0109686,d5478
tt0111797,d11088
tt0109759,d5141
tt0109758,d12455
tt0109707,d2581
tt0113117,d9594
tt0113097,d4052
tt0113028,d2063
tt0113198,d11525
tt0113303,d11284
tt0113089,d2867
tt0109771,d3813
tt0113199,d11450
tt0113234,d3527
tt0109906,d2543
tt0110057,d8940
tt0110005,d8871
tt0110066,d13297
tt0110116,d16865
tt0110006,d2296
tt0113360,d11003
tt0110099,d17594
tt0110148,d9267
tt0113463,d8832
tt0110189,d13026
tt0110216,d16390
tt0113501,d6680
tt0113538,d6912
tt0113552,d17714
tt0076759,d11820
tt0110367,d619
tt0113670,d4060
tt0110296,d11657
tt0109731,d3070
tt0103994,d566
tt0110322,d22033
tt0110443,d3005
tt0110365,d7029
tt0107566,d397
tt0110391,d2901
tt0113691,d7346
tt0110428,d8623
tt0109836,d2195
tt0113755,d14800
tt0110538,d5267
tt0110516,d1466
tt0110527,d12698
tt0113808,d5975
tt0113896,d14115
tt0113870,d16708
tt0110684,d1497
tt0110638,d547
tt0113967,d6806
tt0117169,d13884
tt0106402,d9018
tt0113948,d15998
tt0110671,d8877
tt0110632,d19156
tt0110737,d9081
tt0110729,d19536
tt0114151,d6928
tt0114069,d15399
tt0110413,d1646
tt0114113,d14035
tt0114210,d2199
tt0110912,d19580
tt0114084,d15267
tt0105652,d11088
tt0110889,d1760
tt0110932,d16299
tt0114129,d7757
tt0110963,d3414
tt0114214,d16118
tt0114296,d21670
tt0110907,d305
tt0111495,d9946
tt0108394,d9946
tt0111507,d9946
tt0110769,d7816
tt0114268,d6455
tt0110965,d13215
tt0114571,d16148
tt0111333,d16494
tt0111112,d17524
tt0111255,d11642
tt0111282,d5224
tt0111070,d15147
tt0111161,d4267
tt0111149,d2153
tt0108260,d12838
tt0108260,d18312
tt0106966,d230
tt0106966,d19462
tt0114594,d8452
tt0111309,d2576
tt0111309,d4863
tt0113936,d12153
tt0110081,d21939
tt0114614,d19517
tt0114608,d4631
tt0111280,d2939
tt0114609,d4098
tt0111454,d6549
tt0114852,d2905
tt0114694,d17864
tt0111590,d12193
tt0114788,d18706
tt0114888,d8647
tt0108550,d7483
tt0114857,d11284
tt0114924,d20220
tt0111667,d829
tt0109655,d18275
tt0110598,d8225
tt0112435,d12708
tt0109040,d18002
tt0109045,d5194
tt0106339,d18713
tt0104779,d15675
tt0109348,d278
tt0109444,d14467
tt0109446,d17746
tt0109484,d14186
tt0109504,d11164
tt0109506,d15926
tt0109450,d18123
tt0109813,d11364
tt0109830,d21912
tt0109831,d14233
tt0113305,d18452
tt0110091,d12491
tt0110093,d18284
tt0110167,d1541
tt0110213,d18764
tt0107472,d14000
tt0107472,d13999
tt0110357,d279
tt0110357,d13353
tt0107426,d1630
tt0111686,d3968
tt0110475,d17089
tt0110478,d4781
tt0110588,d17052
tt0110622,d17864
tt0110771,d8404
tt0110950,d19112
tt0105226,d4198
tt0110989,d15422
tt0111054,d59
tt0110997,d7587
tt0111257,d2009
tt0111256,d20287
tt0111438,d8615
tt0111503,d2753
tt0111693,d12248
tt0111742,d14291
tt0111756,d9594
tt0112443,d7654
tt0110455,d10474
tt0111048,d11416
tt0110399,d20930
tt0112570,d10058
tt0112570,d14532
tt0112570,d18561
tt0109454,d485
tt0059170,d13163
tt0110186,d12872
tt0108069,d2065
tt0111301,d18820
tt0112702,d21449
tt0112849,d14301
tt0113014,d20869
tt0113043,d16647
tt0113104,d19792
tt0113173,d15625
tt0113319,d12414
tt0113827,d21270
tt0114047,d21567
tt0112889,d18681
tt0109339,d1
tt0109339,d1293
tt0110027,d13623
tt0109785,d3854
tt0113409,d2905
tt0109021,d826
tt0109035,d15689
tt0106220,d18778
tt0111804,d17627
tt0106226,d17801
tt0109068,d11205
tt0109067,d6646
tt0106292,d895
tt0109198,d9530
tt0109219,d19115
tt0106379,d5884
tt0106400,d18859
tt0109254,d10806
tt0109279,d19803
tt0109297,d547
tt0109303,d8328
tt0109305,d6060
tt0109306,d16509
tt0106452,d5591
tt0106471,d11919
tt0106489,d14355
tt0109361,d16430
tt0106505,d21182
tt0106519,d14956
tt0109439,d20989
tt0109443,d8869
tt0106582,d7632
tt0106598,d1189
tt0109456,d17081
tt0109480,d16598
tt0109493,d3099
tt0106660,d5591
tt0106673,d16390
tt0106677,d11578
tt0106697,d2192
tt0109729,d2385
tt0106834,d17378
tt0106873,d16367
tt0106332,d3220
tt0109783,d15422
tt0106881,d21012
tt0106880,d4098
tt0111732,d9857
tt0106926,d10187
tt0111712,d8760
tt0106941,d18778
tt0106918,d15691
tt0106965,d21325
tt0109842,d21608
tt0106977,d4329
tt0107004,d8107
tt0109890,d4757
tt0109891,d4567
tt0109913,d20090
tt0109920,d1514
tt0107057,d11857
tt0107076,d21474
tt0107096,d19156
tt0107144,d36
tt0113674,d10977
tt0112966,d13529
tt0107151,d782
tt0110064,d13174
tt0110074,d3565
tt0110074,d3562
tt0110097,d2351
tt0110123,d9308
tt0107206,d15399
tt0107207,d18149
tt0110137,d16493
tt0108551,d6528
tt0110197,d11397
tt0107286,d8328
tt0107290,d18869
tt0107302,d17933
tt0110265,d810
tt0107322,d18706
tt0110305,d15421
tt0107362,d12945
tt0107413,d10874
tt0110353,d21325
tt0107468,d4012
tt0107478,d1466
tt0107497,d1343
tt0107501,d6529
tt0107507,d278
tt0107554,d8494
tt0107554,d8490
tt0116253,d953
tt0074102,d22075
tt0111689,d14413
tt0107616,d2195
tt0107611,d5655
tt0107613,d13345
tt0107614,d3676
tt0107653,d11218
tt0110657,d2704
tt0110649,d19946
tt0110678,d2777
tt0110687,d16370
tt0107756,d15795
tt0107808,d5076
tt0107818,d4495
tt0107822,d2781
tt0107840,d18452
tt0107889,d20849
tt0111003,d14791
tt0110939,d18649
tt0110955,d4496
tt0107943,d8832
tt0110971,d12463
tt0107969,d9660
tt0111001,d15083
tt0107978,d4444
tt0107977,d2355
tt0107983,d12964
tt0105275,d21539
tt0108000,d14484
tt0108002,d510
tt0108026,d8567
tt0105032,d3648
tt0108052,d18869
tt0111094,d16598
tt0108065,d21834
tt0111102,d13068
tt0108071,d8241
tt0111127,d20900
tt0111143,d13829
tt0108101,d757
tt0108122,d305
tt0111194,d11997
tt0111201,d4950
tt0108149,d17594
tt0108160,d5267
tt0108162,d14467
tt0083658,d17822
tt0108186,d16210
tt0108174,d17627
tt0108238,d8003
tt0089256,d9117
tt0108255,d8960
tt0108255,d13748
tt0111323,d4631
tt0111400,d17407
tt0108328,d6615
tt0111418,d5767
tt0107688,d17902
tt0108333,d7975
tt0108358,d3870
tt0108358,d8987
tt0111488,d6918
tt0108399,d17825
tt0108515,d7854
tt0108515,d15316
tt0110763,d8559
tt0110763,d9179
tt0107779,d3421
tt0109226,d20873
tt0110259,d12216
tt0114906,d18753
tt0107002,d1608
tt0109403,d8330
