,imdb_id,director_id
0,tt0114709,d12464
1,tt0113497,d12213
2,tt0113228,d10656
3,tt0114885,d9203
4,tt0113041,d6685
5,tt0113277,d15745
6,tt0114319,d20271
7,tt0112302,d17388
8,tt0114576,d17393
9,tt0113189,d15111
10,tt0112346,d18336
11,tt0112896,d15534
12,tt0112453,d19719
13,tt0113987,d16759
14,tt0112760,d18038
15,tt0112641,d15156
16,tt0114388,d5122
17,tt0113101,d4776
18,tt0113101,d131
19,tt0113101,d3227
20,tt0113101,d3066
21,tt0112281,d20018
22,tt0113845,d12885
23,tt0113161,d5659
24,tt0112722,d12624
25,tt0112401,d18140
26,tt0114168,d21291
27,tt0113627,d15992
28,tt0114057,d16755
29,tt0114011,d14162
30,tt0114117,d18687
31,tt0112682,d14670
32,tt0112682,d1717
33,tt0115012,d21819
34,tt0112792,d12508
35,tt0114746,d20494
36,tt0114952,d11672
37,tt0112431,d6860
38,tt0112637,d6997
39,tt0112818,d20711
40,tt0112286,d19942
41,tt0113442,d5115
42,tt0112697,d4836
43,tt0112749,d7654
44,tt0114279,d18182
45,tt0112819,d4435
46,tt0112819,d155
47,tt0114272,d15698
48,tt0113855,d17203
49,tt0114681,d10160
50,tt0113347,d12178
51,tt0114369,d7793
52,tt0114148,d15995
53,tt0114148,d1052
54,tt0114916,d16981
55,tt0114814,d6338
56,tt0109950,d18224
57,tt0113819,d21719
58,tt0110299,d9829
59,tt0112499,d10634
60,tt0113158,d21149
61,tt0113541,d18573
62,tt0113321,d12182
63,tt0110877,d15799
64,tt0110877,d2499
65,tt0112714,d18501
66,tt0113419,d9309
67,tt0116260,d12558
68,tt0113862,d19929
69,tt0116126,d16931
70,tt0118002,d5885
71,tt0115683,d11498
72,tt0116839,d9088
73,tt0114753,d11256
74,tt0113149,d12949
75,tt0113118,d9060
76,tt0116367,d18546
77,tt0113010,d5017
78,tt0113537,d16629
79,tt0113828,d7114
80,tt0115644,d15679
81,tt0115676,d20017
82,tt0114367,d6911
83,tt0113973,d20244
84,tt0112744,d19358
85,tt0116731,d6190
86,tt0112445,d11160
87,tt0114660,d9546
88,tt0112379,d15077
89,tt0114039,d20709
90,tt0113612,d10499
91,tt0112365,d17561
92,tt0118158,d18274
93,tt0116151,d13492
94,tt0115697,d17274
95,tt0113972,d12315
96,tt0113490,d12363
97,tt0117002,d19923
98,tt0114825,d21543
99,tt0115639,d20443
100,tt0115759,d12602
101,tt0113403,d13519
102,tt0113247,d15270
103,tt0111173,d17203
104,tt0113283,d16453
105,tt0115907,d10341
106,tt0115734,d21541
107,tt0117102,d16456
108,tt0118040,d12355
109,tt0116483,d8124
110,tt0112579,d7158
111,tt0110251,d8386
112,tt0117110,d6198
113,tt0117110,d833
114,tt0112646,d18497
115,tt0113276,d11219
116,tt0112573,d15538
117,tt0075314,d15156
118,tt0113326,d19839
119,tt0115645,d5636
120,tt0113774,d16198
121,tt0112556,d22075
122,tt0112373,d12627
123,tt0115033,d5777
124,tt0116606,d8885
125,tt0114536,d4945
126,tt0117427,d6691
127,tt0106473,d12508
128,tt0103859,d18017
129,tt0109424,d13290
130,tt0114808,d9928
131,tt0116324,d7922
132,tt0110647,d17420
133,tt0111055,d16207
134,tt0110217,d15896
135,tt0114131,d6330
136,tt0112364,d17998
137,tt0113107,d15740
138,tt0113451,d21620
139,tt0114015,d22051
140,tt0114500,d7260
141,tt0116130,d7958
142,tt0113125,d15029
143,tt0113756,d8256
144,tt0113952,d20475
145,tt0114618,d19109
146,tt0118055,d12626
147,tt0115685,d16011
148,tt0113200,d11193
149,tt0112585,d8618
150,tt0112442,d15598
151,tt0112342,d6983
152,tt0112461,d19271
153,tt0112427,d16010
154,tt0109093,d10256
155,tt0112384,d18753
156,tt0114287,d15621
157,tt0112288,d4144
158,tt0112462,d12267
159,tt0061395,d14455
160,tt0112495,d12325
161,tt0112541,d17056
162,tt0112541,d3924
163,tt0112541,d1428
164,tt0109370,d15766
165,tt0112642,d6099
166,tt0112688,d19798
167,tt0112715,d9301
168,tt0112740,d21008
169,tt0109508,d20510
170,tt0112851,d18546
171,tt0112857,d6447
172,tt0112864,d12495
173,tt0112887,d10066
174,tt0113044,d7015
175,tt0113071,d11964
176,tt0113114,d8504
177,tt0113243,d10752
178,tt0113464,d6977
179,tt0113481,d18505
180,tt0113492,d7610
181,tt0113500,d12384
182,tt0113540,d13948
183,tt0113677,d20836
184,tt0113690,d7161
185,tt0107447,d8137
186,tt0113729,d5298
187,tt0113749,d13615
188,tt0113820,d6339
189,tt0113851,d7710
190,tt0110604,d5273
191,tt0110620,d15585
192,tt0113957,d10895
193,tt0113986,d6803
194,tt0114095,d7395
195,tt0114194,d10105
196,tt0114241,d16680
197,tt0114323,d20795
198,tt0114345,d18708
199,tt0114435,d6233
200,tt0114436,d17202
201,tt0114478,d21519
202,tt0114496,d13983
203,tt0114508,d18675
204,tt0114534,d11283
205,tt0114558,d13372
206,tt0058450,d11129
207,tt0114666,d21549
208,tt0114663,d15097
209,tt0114702,d4284
210,tt0114682,d5681
211,tt0114781,d9644
212,tt0114798,d8195
213,tt0114805,d8427
214,tt0114887,d4693
215,tt0114898,d13612
216,tt0114928,d8165
217,tt0114938,d21482
218,tt0109340,d15992
219,tt0112602,d10030
220,tt0111579,d16575
221,tt0110882,d16065
222,tt0112471,d18181
223,tt0112508,d20383
224,tt0112438,d10182
225,tt0112571,d10525
226,tt0112757,d17390
227,tt0112643,d20142
228,tt0112679,d16965
229,tt0109445,d13615
230,tt0112883,d11917
231,tt0109635,d5652
232,tt0112899,d18045
233,tt0109676,d12315
234,tt0112854,d11042
235,tt0109579,d18736
236,tt0109642,d20431
237,tt0109686,d17360
238,tt0109686,d443
239,tt0111797,d5122
240,tt0109759,d5532
241,tt0109758,d9534
242,tt0109707,d20671
243,tt0113117,d14045
244,tt0113097,d5939
245,tt0113028,d17615
246,tt0113198,d13600
247,tt0113303,d6159
248,tt0113089,d6469
249,tt0109771,d10208
250,tt0113199,d15000
251,tt0113234,d5443
252,tt0109906,d6638
253,tt0110057,d20006
254,tt0110005,d17396
255,tt0110066,d17910
256,tt0110116,d5818
257,tt0110006,d20049
258,tt0113360,d11005
259,tt0110099,d9399
260,tt0110148,d16383
261,tt0113463,d11280
262,tt0110189,d11309
263,tt0110216,d10953
264,tt0113501,d5426
265,tt0113538,d15683
266,tt0113552,d5636
267,tt0076759,d9706
268,tt0110367,d9870
269,tt0113670,d4697
270,tt0110296,d13494
271,tt0109731,d7107
272,tt0103994,d4693
273,tt0110322,d8644
274,tt0110443,d16456
275,tt0110365,d11265
276,tt0107566,d4776
277,tt0110391,d9950
278,tt0113691,d19928
279,tt0110428,d16434
280,tt0109836,d13519
281,tt0113755,d11320
282,tt0110538,d16655
283,tt0110516,d18109
284,tt0110527,d14157
285,tt0113808,d7800
286,tt0113896,d10097
287,tt0113870,d14697
288,tt0110684,d18377
289,tt0110638,d15588
290,tt0113967,d16466
291,tt0117169,d21124
292,tt0106402,d21171
293,tt0113948,d4442
294,tt0110671,d4394
295,tt0110632,d16759
296,tt0110737,d16673
297,tt0110729,d14089
298,tt0114151,d5190
299,tt0114069,d21710
300,tt0110413,d14396
301,tt0114113,d16103
302,tt0114210,d12930
303,tt0110912,d17770
304,tt0114084,d14896
305,tt0105652,d5122
306,tt0110889,d5298
307,tt0110932,d18543
308,tt0114129,d13403
309,tt0110963,d16972
310,tt0114214,d19063
311,tt0114296,d17501
312,tt0110907,d18367
313,tt0111495,d13813
314,tt0108394,d13813
315,tt0111507,d13813
316,tt0110769,d17688
317,tt0114268,d9388
318,tt0110965,d9712
319,tt0114571,d10355
320,tt0111333,d18202
321,tt0111112,d12556
322,tt0111255,d14461
323,tt0111282,d18707
324,tt0111070,d12521
325,tt0111161,d9282
326,tt0111149,d7609
327,tt0108260,d19279
328,tt0108260,d862
329,tt0106966,d20948
330,tt0106966,d1998
331,tt0114594,d9697
332,tt0111309,d9639
333,tt0111309,d2131
334,tt0113936,d13474
335,tt0110081,d21819
336,tt0114614,d17795
337,tt0114608,d8951
338,tt0111280,d7749
339,tt0114609,d18895
340,tt0111454,d6191
341,tt0114852,d12341
342,tt0114694,d17468
343,tt0111590,d14380
344,tt0114788,d20103
345,tt0114888,d17732
346,tt0108550,d13983
347,tt0114857,d6159
348,tt0114924,d12677
349,tt0111667,d12626
350,tt0109655,d16090
351,tt0110598,d16870
352,tt0112435,d15543
353,tt0109040,d20895
354,tt0109045,d19882
355,tt0106339,d10752
356,tt0104779,d18736
357,tt0109348,d21719
358,tt0109444,d17622
359,tt0109446,d12267
360,tt0109484,d12011
361,tt0109504,d19798
362,tt0109506,d4615
363,tt0109450,d18767
364,tt0109813,d6218
365,tt0109830,d18592
366,tt0109831,d16010
367,tt0113305,d12568
368,tt0110091,d7651
369,tt0110093,d6685
370,tt0110167,d4928
371,tt0110213,d19956
372,tt0107472,d17971
373,tt0107472,d3112
374,tt0110357,d18669
375,tt0110357,d3193
376,tt0107426,d5824
377,tt0111686,d21543
378,tt0110475,d7059
379,tt0110478,d18140
380,tt0110588,d4414
381,tt0110622,d17468
382,tt0110771,d18753
383,tt0110950,d5742
384,tt0105226,d12355
385,tt0110989,d8359
386,tt0111054,d18365
387,tt0110997,d7322
388,tt0111257,d11436
389,tt0111256,d18769
390,tt0111438,d17393
391,tt0111503,d11225
392,tt0111693,d14464
393,tt0111742,d16011
394,tt0111756,d14045
395,tt0112443,d7409
396,tt0110455,d20216
397,tt0111048,d11732
398,tt0110399,d13428
399,tt0112570,d18499
400,tt0112570,d3101
401,tt0112570,d491
402,tt0109454,d21929
403,tt0059170,d18881
404,tt0110186,d8409
405,tt0108069,d7675
406,tt0111301,d20060
407,tt0112702,d21468
408,tt0112849,d15582
409,tt0113014,d17204
410,tt0113043,d21358
411,tt0113104,d20547
412,tt0113173,d14417
413,tt0113319,d18802
414,tt0113827,d17210
415,tt0114047,d18588
416,tt0112889,d18617
417,tt0109339,d11833
418,tt0109339,d1565
419,tt0110027,d4992
420,tt0109785,d15630
421,tt0113409,d12341
422,tt0109021,d12390
423,tt0109035,d11781
424,tt0106220,d5659
425,tt0111804,d20627
426,tt0106226,d15156
427,tt0109068,d15736
428,tt0109067,d17152
429,tt0106292,d12315
430,tt0109198,d12723
431,tt0109219,d21550
432,tt0106379,d5900
433,tt0106400,d17274
434,tt0109254,d12462
435,tt0109279,d6530
436,tt0109297,d15588
437,tt0109303,d19932
438,tt0109305,d21620
439,tt0109306,d21007
440,tt0106452,d4144
441,tt0106471,d11860
442,tt0106489,d18413
443,tt0109361,d4215
444,tt0106505,d12598
445,tt0106519,d6183
446,tt0109439,d17206
447,tt0109443,d15923
448,tt0106582,d18038
449,tt0106598,d19981
450,tt0109456,d18205
451,tt0109480,d15806
452,tt0109493,d10069
453,tt0106660,d4144
454,tt0106673,d10953
455,tt0106677,d18181
456,tt0106697,d14747
457,tt0109729,d6272
458,tt0106834,d10160
459,tt0106873,d6454
460,tt0106332,d13268
461,tt0109783,d8359
462,tt0106881,d17496
463,tt0106880,d18895
464,tt0111732,d4488
465,tt0106926,d20007
466,tt0111712,d12439
467,tt0106941,d5659
468,tt0106918,d20271
469,tt0106965,d19721
470,tt0109842,d5990
471,tt0106977,d4945
472,tt0107004,d21482
473,tt0109890,d18675
474,tt0109891,d10656
475,tt0109913,d18794
476,tt0109920,d6268
477,tt0107057,d19654
478,tt0107076,d12602
479,tt0107096,d16759
480,tt0107144,d12039
481,tt0113674,d13100
482,tt0112966,d7017
483,tt0107151,d5934
484,tt0110064,d8874
485,tt0110074,d12252
486,tt0110074,d1092
487,tt0110097,d11290
488,tt0110123,d7560
489,tt0107206,d21710
490,tt0107207,d12088
491,tt0110137,d15427
492,tt0108551,d6190
493,tt0110197,d5652
494,tt0107286,d19932
495,tt0107290,d20104
496,tt0107302,d8293
497,tt0110265,d18670
498,tt0107322,d20103
499,tt0110305,d7559
500,tt0107362,d12495
501,tt0107413,d11295
502,tt0110353,d19721
503,tt0107468,d7759
504,tt0107478,d18109
505,tt0107497,d10341
506,tt0107501,d15538
507,tt0107507,d21719
508,tt0107554,d4435
509,tt0107554,d155
510,tt0116253,d20132
511,tt0074102,d16273
512,tt0111689,d20879
513,tt0107616,d13519
514,tt0107611,d15992
515,tt0107613,d5257
516,tt0107614,d6803
517,tt0107653,d15999
518,tt0110657,d6983
519,tt0110649,d15849
520,tt0110678,d15111
521,tt0110687,d18336
522,tt0107756,d19020
523,tt0107808,d7158
524,tt0107818,d12708
525,tt0107822,d11441
526,tt0107840,d12568
527,tt0107889,d7958
528,tt0111003,d20150
529,tt0110939,d15539
530,tt0110955,d20443
531,tt0107943,d11280
532,tt0110971,d17279
533,tt0107969,d17566
534,tt0111001,d4405
535,tt0107978,d9383
536,tt0107977,d15534
537,tt0107983,d17432
538,tt0105275,d9655
539,tt0108000,d21290
540,tt0108002,d7710
541,tt0108026,d20689
542,tt0105032,d7335
543,tt0108052,d20104
544,tt0111094,d15806
545,tt0108065,d20108
546,tt0111102,d6850
547,tt0108071,d4284
548,tt0111127,d12592
549,tt0111143,d18889
550,tt0108101,d18104
551,tt0108122,d18367
552,tt0111194,d9875
553,tt0111201,d12363
554,tt0108149,d9399
555,tt0108160,d16655
556,tt0108162,d17622
557,tt0083658,d18274
558,tt0108186,d20024
559,tt0108174,d20627
560,tt0108238,d18815
561,tt0089256,d5465
562,tt0108255,d5182
563,tt0108255,d3244
564,tt0111323,d8951
565,tt0111400,d8142
566,tt0108328,d9363
567,tt0111418,d4955
568,tt0107688,d10509
569,tt0108333,d19929
570,tt0108358,d9718
571,tt0108358,d2135
572,tt0111488,d10551
573,tt0108399,d21008
574,tt0108515,d6823
575,tt0108515,d745
576,tt0110763,d17703
577,tt0110763,d1830
578,tt0107779,d11946
579,tt0109226,d11867
580,tt0110259,d15003
581,tt0114906,d20809
582,tt0107002,d7105
583,tt0109403,d8128
584,tt0104029,d10146
585,tt0110623,d7498
586,tt0107315,d17248
587,tt0106408,d10154
588,tt0110363,d5014
589,tt0107349,d22056
590,tt0111709,d18182
591,tt0109828,d9022
592,tt0107225,d14242
593,tt0111252,d7922
594,tt0110366,d17274
595,tt0106878,d18962
596,tt0109120,d9713
597,tt0108059,d18272
598,tt0110892,d15592
599,tt0112651,d18314
600,tt0112651,d1737
601,tt0107642,d15270
602,tt0109382,d16301
603,tt0106678,d15209
604,tt0112572,d5868
605,tt0099785,d6803
606,tt0099653,d11964
607,tt0103639,d18747
608,tt0103639,d1890
609,tt0103064,d11225
610,tt0099348,d13579
611,tt0114706,d19991
612,tt0096895,d20671
613,tt0102926,d12708
614,tt0029583,d21609
615,tt0029583,d826
616,tt0029583,d3940
617,tt0029583,d2225
618,tt0029583,d2976
619,tt0029583,d373
620,tt0101414,d9578
621,tt0101414,d2159
622,tt0032910,d16670
623,tt0032910,d3625
624,tt0032910,d3940
625,tt0032910,d1575
626,tt0032910,d1401
627,tt0032910,d424
628,tt0032910,d373
629,tt0100405,d9534
630,tt0110719,d21913
631,tt0065214,d19060
632,tt0110395,d6402
633,tt0111752,d12030
634,tt0109934,d11620
635,tt0112606,d19070
636,tt0117247,d15698
637,tt0112625,d5890
638,tt0106537,d19949
639,tt0116282,d12252
640,tt0116282,d1092
641,tt0116552,d7940
642,tt0082509,d9762
643,tt0082509,d1856
644,tt0082509,d1876
645,tt0082509,d2019
646,tt0082509,d1807
647,tt0082509,d352
648,tt0082509,d2959
649,tt0082509,d1579
650,tt0082509,d3055
651,tt0082509,d1421
652,tt0116514,d13625
653,tt0117283,d15326
654,tt0116684,d9272
655,tt0110374,d5166
656,tt0070506,d9265
657,tt0065421,d21711
658,tt0113083,d17248
659,tt0118001,d9154
660,tt0116165,d5893
661,tt0102855,d21538
662,tt0107471,d5079
663,tt0113839,d21249
664,tt0112712,d15957
665,tt0090665,d9464
666,tt0117891,d15143
667,tt0113613,d19815
668,tt0117381,d10087
669,tt0114305,d7151
670,tt0115837,d6304
671,tt0115509,d13958
672,tt0115509,d2959
673,tt0114671,d13494
674,tt0112844,d10262
675,tt0114658,d12741
676,tt0116275,d18193
677,tt0113122,d20812
678,tt0117608,d12731
679,tt0113448,d20718
680,tt0116414,d19798
681,tt0116095,d11895
682,tt0111543,d10544
683,tt0117517,d15121
684,tt0117312,d6477
685,tt0116485,d8542
686,tt0113947,d7119
687,tt0115956,d8644
688,tt0117060,d6183
689,tt0109028,d9436
690,tt0117071,d17270
691,tt0117788,d20299
692,tt0112257,d6735
693,tt0116136,d18307
694,tt0118026,d12892
695,tt0117117,d15857
696,tt0116168,d20024
697,tt0111787,d10025
698,tt0112509,d18227
699,tt0054189,d18049
700,tt0115591,d5244
701,tt0116683,d10509
702,tt0116287,d11256
703,tt0116768,d13474
704,tt0116269,d17148
705,tt0114787,d8777
706,tt0113720,d5987
707,tt0112536,d4400
708,tt0048473,d19220
709,tt0052572,d19220
710,tt0117128,d12074
711,tt0114616,d10449
712,tt0117705,d12233
713,tt0062711,d18692
714,tt0110061,d6559
715,tt0140614,d6164
716,tt0108181,d9696
