,imdb_id,rated
0,tt0114709,G
1,tt0113497,PG
2,tt0113228,PG-13
3,tt0114885,R
4,tt0113041,PG
5,tt0113277,R
6,tt0114319,PG
7,tt0112302,PG
8,tt0114576,R
9,tt0113189,PG-13
10,tt0112346,PG-13
11,tt0112896,PG-13
12,tt0112453,G
13,tt0113987,R
14,tt0112760,PG-13
15,tt0112641,R
16,tt0114388,PG
17,tt0113101,R
18,tt0112281,PG-13
19,tt0113845,R
20,tt0113161,R
21,tt0112722,R
22,tt0112401,R
23,tt0114168,PG-13
24,tt0113627,R
25,tt0114057,R
26,tt0114011,PG-13
27,tt0114117,PG
28,tt0112682,R
29,tt0115012,R
30,tt0112792,R
31,tt0114746,R
32,tt0114952,G
33,tt0112431,G
34,tt0112637,R
35,tt0112818,R
36,tt0112286,G
37,tt0113442,PG
38,tt0112697,PG-13
39,tt0112749,PG-13
40,tt0114279,R
41,tt0112819,R
42,tt0114272,R
43,tt0113855,PG-13
44,tt0114681,R
45,tt0113347,PG-13
46,tt0114369,R
47,tt0114148,G
48,tt0114916,R
49,tt0114814,R
50,tt0109950,R
51,tt0113819,R
52,tt0110299,N/A
53,tt0112499,PG
54,tt0113158,R
55,tt0113541,Unrated
56,tt0113321,PG-13
57,tt0110877,PG
58,tt0112714,Not Rated
59,tt0113419,PG
60,tt0116260,R
61,tt0113862,PG
62,tt0116126,R
63,tt0118002,R
64,tt0115683,PG-13
65,tt0116839,PG-13
66,tt0114753,PG-13
67,tt0113149,R
68,tt0113118,R
69,tt0116367,R
70,tt0113010,R
71,tt0113537,R
72,tt0113828,R
73,tt0115644,PG
74,tt0115676,PG
75,tt0114367,R
76,tt0113973,N/A
77,tt0112744,R
78,tt0116731,R
79,tt0112445,Unrated
80,tt0114660,R
81,tt0112379,R
82,tt0114039,PG
83,tt0113612,R
84,tt0112365,R
85,tt0118158,PG-13
86,tt0116151,PG
87,tt0115697,PG-13
88,tt0113972,R
89,tt0113490,PG-13
90,tt0117002,R
91,tt0114825,R
92,tt0115639,R
93,tt0115759,R
94,tt0113403,R
95,tt0113247,Not Rated
96,tt0111173,R
97,tt0113283,Not Rated
98,tt0115907,R
99,tt0115734,R
100,tt0117102,PG-13
101,tt0118040,R
102,tt0116483,PG-13
103,tt0112579,PG-13
104,tt0110251,N/A
105,tt0117110,G
106,tt0112646,N/A
107,tt0113276,N/A
108,tt0112573,R
109,tt0075314,R
110,tt0113326,R
111,tt0115645,PG-13
112,tt0113774,R
113,tt0112556,N/A
114,tt0112373,PG
115,tt0115033,R
116,tt0116606,R
117,tt0114536,PG-13
118,tt0117427,PG
119,tt0106473,N/A
120,tt0103859,R
121,tt0109424,PG-13
122,tt0114808,R
123,tt0116324,R
124,tt0110647,G
125,tt0111055,N/A
126,tt0110217,Not Rated
127,tt0114131,R
128,tt0112364,Not Rated
129,tt0113107,R
130,tt0113451,R
131,tt0114015,N/A
132,tt0114500,N/A
133,tt0116130,PG-13
134,tt0113125,N/A
135,tt0113756,N/A
136,tt0113952,Not Rated
137,tt0114618,N/A
138,tt0118055,PG-13
139,tt0115685,R
140,tt0113200,PG
141,tt0112585,R
142,tt0112442,R
143,tt0112342,PG
144,tt0112461,R
145,tt0112427,R
146,tt0109093,R
147,tt0112384,PG
148,tt0114287,R
149,tt0112288,Not Rated
150,tt0112462,PG-13
151,tt0061395,R
152,tt0112495,R
153,tt0112541,R
154,tt0109370,PG
155,tt0112642,PG
156,tt0112688,R
157,tt0112715,PG-13
158,tt0112740,R
159,tt0109508,R
160,tt0112851,R
161,tt0112857,R
162,tt0112864,R
163,tt0112887,R
164,tt0113044,R
165,tt0113071,PG-13
166,tt0113114,PG
167,tt0113243,PG-13
168,tt0113464,R
169,tt0113481,R
170,tt0113492,R
