,writer_id,first_name,last_name
0,w59264,John,Lasseter
1,w33061, Pete,Docter
2,w2191, Andrew,Stanton
3,w20715, Joe,Ranft
4,w22559, Joss,Whedon
5,w2192, Andrew,Stanton
6,w20797, Joel,Cohen
7,w1116, Alec,Sokolow
8,w59692,Jonathan,Hensleigh
9,w15155, Greg,Taylor
10,w20374, Jim,Strain
11,w15154, Greg,Taylor
12,w20373, Jim,Strain
13,w6808, Chris Van,Allsburg
14,w6807, Chris Van,Allsburg
15,w63663,Mark Steven,Johnson
16,w27769, Mark Steven,Johnson
17,w72736,Terry,McMillan
18,w40819, Terry,McMillan
19,w36799, Ronald,Bass
20,w45389,Albert,Hackett
21,w12733, Frances,Goodrich
22,w30678, Nancy,Meyers
23,w6392, Charles,Shyer
24,w64847,Michael,Mann
25,w70422,Samuel A.,Taylor
26,w4485, Billy,Wilder
27,w37617, Samuel A.,Taylor
28,w11972, Ernest,Lehman
29,w3612, Barbara,Benedek
30,w9182, David,Rayfiel
31,w63674,Mark,Twain
32,w39562, Stephen,Sommers
33,w9024, David,Loughery
34,w60599,Karen Elise,Baldwin
35,w13853, Gene,Quintano
36,w56357,Ian,Fleming
37,w29221, Michael,France
38,w19767, Jeffrey,Caine
39,w5240, Bruce,Feirstein
40,w44810,Aaron,Sorkin
41,w64436,Mel,Brooks
42,w37023, Rudy De,Luca
43,w39669, Steve,Haberman
44,w37024, Rudy De,Luca
45,w39670, Steve,Haberman
46,w4884, Bram,Stoker
47,w49908,Cliff,Ruby
48,w11180, Elana,Lesser
49,w9293, David Steven,Cohen
50,w36579, Roger S.H.,Schulman
51,w71777,Stephen J.,Rivele
52,w7141, Christopher,Wilkinson
53,w31762, Oliver,Stone
54,w64702,Michael Frost,Beckner
55,w18417, James,Gorman
56,w5223, Bruce A.,Evans
57,w34765, Raynold,Gideon
58,w35974, Robert,King
59,w26897, Marc,Norman
60,w65948,Nicholas,Pileggi
61,w31069, Nicholas,Pileggi
62,w28008, Martin,Scorsese
63,w57463,Jane,Austen
64,w11525, Emma,Thompson
65,w45921,Allison,Anders
66,w1490, Alexandre,Rockwell
67,w36145, Robert,Rodriguez
68,w34174, Quentin,Tarantino
69,w56817,Jack,Bernstein
70,w39734, Steve,Oedekerk
71,w52009,Doug,Richardson
72,w10421, Doug,Richardson
74,w52720,Elmore,Leonard
75,w37987, Scott,Frank
76,w46499,Ann,Biderman
77,w9039, David,Madsen
78,w62263,Lilly,Wachowski
79,w24791, Lana,Wachowski
80,w25691, Lilly,Wachowski
81,w24790, Lana,Wachowski
82,w5069, Brian,Helgeland
83,w73956,Victor,Salva
84,w59349,John,O'Brien
85,w29965, Mike,Figgis
86,w66452,Oliver,Parker
87,w43840, William,Shakespeare
88,w56334,I. Marlene,King
90,w31105, Nick,Dear
91,w54786,Gilles,Adrien
92,w19552, Jean-Pierre,Jeunet
93,w26845, Marc,Caro
94,w14556, Gilles,Adrien
95,w15294, Guillaume,Laurant
96,w19553, Jean-Pierre,Jeunet
97,w47776,Bi,Feiyu
98,w25634, Li,Xiao
99,w62473,LouAnne,Johnson
101,w49422,Chris,Marker
102,w9348, David Webb,Peoples
103,w18913, Janet,Peoples
104,w45234,Alain,Godard
105,w19429, Jean-Jacques,Annaud
106,w51646,Dick,King-Smith
107,w14105, George,Miller
108,w6750, Chris,Noonan
109,w49634,Christopher,Hampton
110,w29316, Michael,Holroyd
111,w55809,Helen,Prejean
112,w41315, Tim,Robbins
113,w46223,Andrew,Gellis
114,w51395,Deborah Dean,Davis
115,w46033,Amy,Heckerling
116,w69874,Ronald,Harwood
117,w886, Alan,Paton
118,w74752,William,Shakespeare
119,w17112, Ian,McKellen
120,w35252, Richard,Loncraine
121,w45911,Allen,Hughes
122,w985, Albert,Hughes
123,w29290, Michael Henry,Brown
124,w29289, Michael Henry,Brown
125,w43132, Wallace,Terry
126,w69931,Rose,Tremain
127,w37083, Rupert,Walters
128,w52244,Ed,Boon
129,w21727, John,Tobias
130,w24118, Kevin,Droney
131,w60120,Joyce,Maynard
132,w5399, Buck,Henry
133,w74453,Whitney,Otto
134,w18853, Jane,Anderson
135,w46247,Andrew Kevin,Walker
136,w48689,Carl,Binder
137,w40201, Susannah,Grant
138,w33590, Philip,LaZebnik
139,w14842, Glen,Keane
140,w20656, Joe,Grant
141,w34476, Ralph,Zondag
142,w5449, Burny,Mattinson
143,w10727, Ed,Gombert
144,w23252, Kaan,Kalyon
145,w12835, Francis,Glebas
146,w35591, Rob,Gibbs
147,w5272, Bruce,Morris
148,w41516, Todd,Kurosawa
149,w10569, Duncan,Marjoribanks
150,w6656, Chris,Buck
151,w2069, Andrew,Chapman
152,w34566, Randy,Cartwright
153,w43479, Will,Finn
154,w5216, Broose,Johnson
155,w40392, T. Daniel,Hofstedt
156,w9169, David,Pruiksma
157,w31320, Nik,Ranieri
158,w42742, Vincent,DeFrances
159,w41652, Tom,Mazzocco
160,w10116, Don,Dougherty
161,w22214, Jorgen,Klubien
162,w29969, Mike,Gabriel
163,w66838,Patricia,Rozema
164,w49666,Christopher,McQuarrie
165,w58781,Joe,Hart
166,w74883,Woody,Allen
167,w54746,Gianni,Amelio
168,w2007, Andrea,Porporati
169,w1291, Alessandro,Sermoneta
170,w56111,Holly Goldberg,Sloan
171,w47322,Barbara,Turner
172,w51255,David,Sherman
173,w36234, Robert,Tinnell
174,w49443,Chris,Radant
175,w43060, W.D.,Richter
176,w46782,Antonio,Skármeta
177,w13485, Furio,Scarpelli
178,w14428, Giacomo,Scarpelli
179,w2521, Anna,Pavignano
180,w29536, Michael,Radford
181,w13482, Furio,Scarpelli
182,w14427, Giacomo,Scarpelli
183,w28299, Massimo,Troisi
184,w69336,Robert,Lepage
185,w62769,Lynne Reid,Banks
186,w28951, Melissa,Mathison
187,w53101,Erika,Holzer
188,w1790, Amanda,Silver
189,w35471, Rick,Jaffa
190,w66920,Patrick Sheane,Duncan
191,w71140,Shawn,Wayans
192,w27846, Marlon,Wayans
193,w33484, Phil,Beauman
194,w51470,Denis,Leary
195,w29939, Mike,Armstrong
196,w2474, Ann,Lembeck
197,w9602, Denis,Leary
198,w29938, Mike,Armstrong
199,w44965,Adam,Leff
200,w30308, Mitchell,Peck
201,w18992, Jason,Blumenthal
